depth	min95%	max95%	best	acc.rate
25	-582	-225	-399	68.46
30	-212	89	-57	68.46
32	-65	216	80	68.46
34	79	345	217	68.46
36	223	480	354	68.46
38	363	619	491	68.46
40	504	758	628	68.46
42	643	899	765	68.46
44	784	1040	902	68.46
46	923	1180	1039	68.46
48	1063	1320	1176	68.46
50	1202	1461	1313	68.46
52	1342	1602	1450	68.46
54	1481	1743	1586	68.46
56	1620	1883	1723	68.46
58	1758	2024	1860	68.46
60	1895	2167	1997	68.46
62	2031	2311	2134	68.46
64	2163	2456	2271	68.46
66	2299	2603	2408	68.46
68	2417	2720	2525	48.53
70	2521	2804	2622	48.53
72	2626	2889	2719	48.53
74	2729	2973	2816	48.53
76	2831	3058	2913	48.53
78	2933	3143	3010	48.53
80	3035	3229	3107	48.53
82	3138	3316	3204	48.53
84	3239	3402	3301	48.53
86	3339	3488	3398	48.53
88	3440	3575	3496	48.53
90	3540	3663	3593	48.53
92	3637	3752	3690	48.53
94	3733	3838	3787	48.53
96	3825	3930	3884	48.53
98	3881	3980	3937	5.23
100	3898	3990	3948	5.23
102	3911	4000	3958	5.23
104	3922	4011	3969	5.23
106	3930	4022	3979	5.23
108	3938	4033	3990	5.23
110	3945	4046	4000	5.23
112	3954	4059	4011	5.23
114	3960	4074	4021	5.23
116	3969	4084	4030	4.13
118	3977	4088	4039	4.13
120	3987	4094	4047	4.13
122	3993	4100	4055	4.13
124	3994	4106	4063	4.13
126	3999	4113	4072	4.13
128	4002	4122	4080	4.13
130	4006	4131	4088	4.13
132	4009	4142	4097	4.13
134	4017	4151	4105	4.18
136	4032	4156	4113	4.18
138	4047	4164	4122	4.18
140	4060	4174	4130	4.18
142	4073	4184	4138	4.18
144	4086	4196	4147	4.18
146	4098	4209	4155	4.18
148	4107	4221	4163	4.18
150	4119	4233	4172	4.18
152	4131	4245	4180	4.18
154	4142	4258	4188	4.18
156	4151	4270	4197	4.18
158	4163	4282	4209	7.55
160	4174	4289	4224	7.55
162	4184	4301	4239	7.55
164	4192	4316	4254	7.55
166	4204	4335	4269	7.55
168	4213	4361	4284	7.55
170	4224	4388	4299	7.55
172	5632	5765	5696	1389.21
174	8424	8535	8474	2065.98
176	12446	12706	12606	NA
