depth	min95%	max95%	best	acc.rate
25	-636	-229	-419	71.52
30	-222	87	-62	71.52
32	-64	216	81	71.52
34	88	347	224	71.5
36	235	491	367	71.43
38	380	639	510	71.3
40	526	790	653	71.11
42	668	940	795	70.87
44	813	1090	936	70.56
46	955	1237	1077	70.2
48	1096	1384	1217	69.79
50	1238	1528	1357	69.31
52	1379	1672	1495	68.78
54	1517	1814	1632	68.19
56	1654	1953	1768	67.54
58	1790	2090	1903	66.84
60	1924	2225	2036	66.07
62	2058	2357	2168	65.25
64	2188	2486	2298	64.38
66	2318	2611	2427	63.44
68	2446	2734	2553	62.4
70	2572	2852	2677	61.13
72	2693	2968	2799	59.64
74	2815	3079	2917	57.91
76	2932	3184	3032	55.95
78	3043	3287	3143	53.77
80	3145	3382	3249	51.35
82	3237	3473	3351	48.7
84	3329	3558	3447	45.82
86	3415	3637	3537	42.71
88	3495	3710	3621	39.38
90	3569	3775	3698	35.81
92	3641	3834	3767	32.01
94	3701	3886	3829	27.98
96	3753	3932	3883	23.72
98	3808	3975	3928	19.44
100	3848	4015	3965	15.64
102	3883	4050	3995	12.36
104	3919	4082	4018	9.58
106	3954	4106	4036	7.31
108	3977	4129	4050	5.55
110	3993	4146	4060	4.3
112	4006	4161	4068	3.56
114	4009	4171	4075	3.33
116	4011	4181	4082	3.25
118	4006	4216	4088	2.48
120	3999	4232	4092	0.97
122	3988	4232	4093	-1.27
124	3969	4227	4089	-4.25
126	3946	4208	4079	-7.96
128	3913	4182	4061	-12.41
130	3869	4139	4034	-17.59
132	3783	4107	3996	-23.51
134	3683	4073	3946	-29.32
136	3541	4041	3885	-33.08
138	3324	4006	3818	-34.66
140	3065	3968	3748	-34.08
142	2831	3930	3681	-31.32
144	2577	3898	3621	-26.39
146	2340	3872	3571	-19.29
148	2131	3855	3537	-10.02
150	1963	3848	3523	1.42
152	1848	3866	3532	15.04
154	1794	3933	3570	30.83
156	1877	4084	3640	48.79
158	2014	4295	3748	72.13
160	2193	4570	3908	108.21
162	2478	4932	4148	157.48
164	2920	5390	4492	219.95
166	3569	5954	4969	295.61
168	4383	6631	5603	384.47
170	5455	7450	6421	486.51
172	6460	8422	7447	585.52
174	7351	9542	8653	644.13
176	8181	10835	9954	NA
