"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
25	0	1	1	1	3
30	0	1	1	1	3
32	0	1	1	1	3
34	0	1	1	1	3
36	0	1	1	1	3
38	0	1	1	1	3
40	0	1	1	1	3
42	0	1	1	0	2
44	0	1	1	0	2
46	0	1	1	0	2
48	0	1	0	0	1
50	0	1	0	0	1
52	0	1	0	0	1
54	0	1	1	1	3
56	0	1	1	1	3
58	0	1	1	1	3
60	0	1	1	1	3
62	0	1	1	1	3
64	0	1	1	1	3
66	0	1	1	1	3
68	0	1	1	1	3
70	0	1	1	1	3
72	0	1	1	1	3
74	0	1	1	1	3
76	0	1	1	1	3
78	0	1	1	1	3
80	0	1	1	1	3
82	0	1	1	1	3
84	0	1	1	1	3
86	0	1	1	1	3
88	0	1	1	1	3
90	0	1	1	1	3
92	0	1	1	1	3
94	0	1	1	1	3
96	0	1	1	1	3
98	1	1	1	1	4
100	1	1	1	1	4
102	1	1	1	1	4
104	1	1	1	1	4
106	1	1	1	1	4
108	1	1	1	1	4
110	1	1	1	1	4
112	1	1	1	1	4
114	1	1	1	1	4
116	1	1	1	1	4
118	1	1	1	1	4
120	1	1	1	1	4
122	1	1	1	1	4
124	1	1	1	1	4
126	1	1	1	1	4
128	1	1	1	1	4
130	1	1	1	1	4
132	1	1	1	1	4
134	1	1	1	1	4
136	1	1	1	1	4
138	1	1	1	1	4
140	1	1	1	1	4
142	1	1	1	1	4
144	1	1	1	1	4
146	1	1	1	1	4
148	1	1	1	1	4
150	1	1	1	1	4
152	1	1	1	1	4
154	1	1	1	1	4
156	1	1	1	1	4
158	1	1	1	1	4
160	1	1	1	1	4
162	1	1	1	1	4
164	1	1	1	1	4
166	1	1	1	1	4
168	1	1	1	1	4
170	1	1	1	1	4
172	0	1	0	0	1
174	0	1	1	1	3
176	0	1	1	1	3
