depth	min95%	max95%	best	acc.rate
0	-382	215	-53	4.55
10	-298	228	-7	4.55
20	-212	241	38	4.55
30	-129	255	84	4.55
40	-48	274	129	4.55
50	26	296	175	4.55
60	94	323	220	4.55
70	156	359	266	4.55
80	218	398	311	4.55
90	275	441	357	4.55
100	316	490	403	2.05
110	344	504	423	2.05
120	372	517	444	2.05
130	399	530	464	2.05
140	425	547	485	2.05
150	450	565	505	2.05
180	520	623	567	2.05
200	560	667	607	1.73
220	574	698	642	1.73
240	582	768	677	21.96
260	1036	1191	1116	21.96
280	1466	1652	1555	21.96
300	1869	2132	1994	4.2
320	1972	2185	2078	4.2
340	2035	2272	2162	4.2
360	2280	2522	2409	20.5
380	2696	2950	2819	20.5
400	3076	3394	3230	20.5
420	3435	3868	3640	20.5
440	3769	4341	4050	20.5
460	4106	4813	4460	20.5
470	4271	5049	4665	NA
