"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	1	1	1	1	4
10	1	1	1	1	4
20	1	1	1	1	4
30	1	1	1	1	4
40	1	1	1	1	4
50	1	1	1	1	4
60	1	1	1	1	4
70	1	1	1	1	4
80	1	1	1	1	4
90	1	1	1	1	4
100	1	1	1	1	4
110	1	1	1	1	4
120	1	1	1	1	4
130	1	1	1	1	4
140	1	1	1	1	4
150	1	1	1	1	4
180	1	1	1	1	4
200	1	1	1	1	4
220	1	1	1	1	4
240	1	1	1	1	4
260	1	1	1	1	4
280	1	1	1	1	4
300	1	1	1	1	4
320	1	1	1	1	4
340	1	1	1	1	4
360	1	1	1	1	4
380	1	1	1	1	4
400	1	1	1	1	4
420	1	1	1	1	4
440	0	1	1	1	3
460	0	1	1	0	2
470	0	1	1	0	2
