depth	min95%	max95%	best	acc.rate
0	-10345	-8152	-9328	235.89
5	-9056	-7100	-8149	235.89
10	-7764	-6047	-6969	235.89
15	-6471	-4995	-5790	235.89
20	-5178	-3942	-4610	235.89
25	-3885	-2890	-3431	235.89
30	-2598	-1838	-2251	235.89
35	-1311	-785	-1072	235.89
40	-26	268	108	235.89
45	1216	1367	1287	235.89
50	2318	2529	2433	202.13
55	2762	3048	2924	72.23
60	3158	3407	3285	72.23
65	3543	3785	3646	72.23
70	3916	4200	4007	72.23
75	4282	4615	4369	72.23
80	4605	4925	4687	57.86
85	4886	5167	4976	57.86
90	5163	5412	5265	57.86
95	5434	5657	5554	57.86
100	5703	5933	5844	57.86
105	5968	6221	6133	57.86
110	6229	6532	6422	NA
