depth	min95%	max95%	best	acc.rate
0	-299	26	-62	-24.63
5	-403	-32	-182	-22.08
10	-496	-55	-280	-15.16
15	-575	-50	-335	-3.88
20	-556	26	-325	11.78
25	-469	156	-227	31.81
30	-252	374	-21	56.21
35	106	698	315	84.98
40	613	1132	805	118.12
45	1308	1690	1466	149.01
50	2050	2380	2210	139.71
55	2683	3028	2852	112.69
60	3208	3583	3370	90.96
65	3642	4035	3790	74.71
70	4010	4417	4140	63.94
75	4338	4747	4447	58.66
80	4640	5039	4737	57.55
85	4921	5301	5024	56.84
90	5192	5547	5307	56.28
95	5459	5779	5587	55.87
100	5721	5999	5866	55.62
105	5986	6233	6144	55.51
110	6229	6527	6421	NA
