depth	min95%	max95%	best	acc.rate
0	795	3871	2762	7.86
5	893	3879	2801	7.86
10	990	3893	2841	7.86
15	1088	3899	2880	7.86
20	1185	3908	2919	7.86
25	1282	3920	2958	7.86
30	1380	3924	2998	7.86
35	1477	3927	3037	7.86
40	1572	3936	3076	7.86
45	1667	3942	3116	7.86
50	1761	3962	3155	7.86
55	1850	3979	3194	7.86
60	1938	4001	3233	7.86
65	2031	4019	3273	7.86
70	2115	4039	3312	7.86
75	2200	4057	3351	7.86
80	2296	4074	3391	7.86
85	2392	4104	3430	7.86
90	2485	4127	3469	7.86
95	2576	4151	3509	7.9
100	2667	4181	3548	8.02
105	2758	4209	3589	8.21
110	2851	4241	3630	8.47
115	2944	4269	3673	8.81
120	3038	4298	3718	9.22
125	3122	4330	3765	9.7
130	3204	4365	3815	10.26
135	3291	4406	3867	10.89
140	3378	4450	3923	11.59
145	3463	4496	3982	12.37
150	3527	4543	4046	13.22
155	3616	4611	4114	14.15
160	3709	4676	4187	15.15
165	3793	4735	4264	16.22
170	3895	4808	4348	17.37
175	4005	4886	4437	18.59
180	4103	4969	4533	19.88
185	4211	5052	4635	21.25
190	4325	5163	4744	22.68
195	4444	5283	4860	24.13
200	4575	5416	4984	25.58
205	4713	5561	5114	27.04
210	4860	5694	5253	28.51
215	5004	5842	5398	29.98
220	5155	6005	5551	31.46
225	5320	6188	5711	32.95
230	5493	6370	5879	34.44
235	5665	6552	6054	35.94
240	5842	6758	6237	37.44
245	6025	6970	6427	38.96
250	6209	7196	6625	40.47
255	6406	7421	6830	41.95
260	6592	7652	7043	43.32
265	6789	7904	7262	44.57
270	6984	8148	7487	45.71
275	7186	8395	7718	46.74
280	7400	8643	7953	47.66
285	7617	8896	8193	48.47
290	7848	9156	8437	49.16
295	8088	9416	8684	49.75
300	8316	9677	8934	50.22
305	8548	9938	9186	50.58
310	8781	10200	9439	50.83
315	9019	10454	9694	50.97
320	9257	10703	9949	50.99
325	9499	10951	10203	50.91
330	9753	11193	10458	50.71
335	10008	11449	10711	50.4
340	10262	11698	10962	49.98
345	10523	11954	11211	49.44
350	10781	12188	11457	48.8
355	11038	12435	11699	48.04
360	11294	12676	11938	47.27
365	11549	12907	12173	46.57
370	11799	13134	12404	45.95
375	12055	13381	12633	45.4
380	12305	13601	12859	44.93
382	12405	13697	12949	44.77
384	12508	13798	13038	44.61
386	12607	13900	13127	44.47
388	12700	14003	13216	44.34
390	12796	14093	13305	44.22
392	12898	14184	13393	44.12
394	12994	14280	13481	44.02
396	13089	14381	13569	43.94
398	13189	14483	13657	43.87
400	13278	14584	13745	43.82
402	13366	14686	13833	43.77
404	13461	14788	13920	43.74
406	13556	14892	14008	43.72
408	13658	14995	14095	43.71
410	13754	15100	14182	43.71
412	13838	15206	14270	43.71
414	13910	15311	14357	43.71
416	13995	15413	14445	43.71
418	14075	15520	14532	43.71
420	14161	15627	14620	NA
