depth	min95%	max95%	best	acc.rate
0	-103	97	-1	40.68
5	102	310	203	40.68
10	284	537	406	40.68
15	454	771	609	40.68
20	619	1014	813	40.68
25	786	1257	1016	40.68
30	953	1499	1220	40.68
35	1116	1747	1423	40.68
40	1275	1995	1626	40.68
45	1432	2244	1830	40.68
50	1593	2492	2033	40.68
55	1757	2746	2237	40.68
60	1925	2994	2440	40.68
65	2082	3244	2643	40.68
70	2244	3499	2847	40.68
75	2404	3754	3050	40.68
80	2564	4008	3254	40.68
85	2724	4263	3457	40.68
90	2883	4518	3660	9.58
95	2959	4536	3708	9.58
100	3032	4545	3756	9.58
105	3116	4553	3804	9.58
110	3190	4565	3852	9.58
115	3254	4582	3900	9.58
120	3320	4611	3948	9.58
125	3385	4627	3996	9.58
130	3450	4655	4043	9.58
135	3520	4696	4091	9.58
140	3583	4748	4139	9.58
145	3638	4785	4187	9.58
150	3684	4809	4235	9.58
155	3743	4869	4283	9.58
160	3797	4939	4331	9.58
165	3855	4987	4379	9.58
170	3887	5061	4427	9.58
175	3940	5118	4474	9.58
180	3965	5183	4522	9.58
185	3991	5251	4570	9.58
190	4082	5331	4658	29.62
195	4270	5442	4806	29.62
200	4444	5558	4954	29.62
205	4609	5674	5103	29.62
210	4785	5789	5251	29.62
215	4945	5916	5399	29.62
220	5092	6056	5547	29.62
225	5243	6206	5695	29.62
230	5354	6390	5843	29.62
235	5473	6571	5991	29.62
240	5574	6772	6139	29.62
245	5683	6986	6287	29.62
250	5768	7179	6436	29.62
255	6044	7418	6695	57.44
260	6370	7672	6982	57.44
265	6702	7965	7269	57.44
270	6976	8236	7557	57.44
275	7245	8516	7844	57.44
280	7494	8812	8131	57.44
285	7749	9099	8418	57.44
290	8004	9398	8705	57.44
295	8258	9692	8993	57.44
300	8500	10023	9280	57.44
305	8752	10347	9567	57.44
310	8989	10693	9854	57.44
315	9200	11026	10142	57.44
320	9429	11373	10429	57.44
325	9638	11717	10716	57.44
330	9827	12062	11003	57.44
335	10019	12405	11290	57.44
340	10222	12748	11578	57.44
345	10431	13101	11865	57.44
350	10641	13453	12152	57.44
355	10845	13799	12439	43.2
360	11150	13851	12598	28.96
365	11463	13879	12743	28.96
370	11761	13923	12888	28.96
375	12051	13950	13033	28.96
380	12306	14015	13177	28.96
382	12423	14032	13235	28.96
384	12527	14064	13293	28.96
386	12626	14101	13351	28.96
388	12711	14142	13409	28.96
390	12805	14174	13467	28.96
392	12894	14216	13525	28.96
394	12984	14270	13583	28.96
396	13071	14320	13641	28.96
398	13155	14373	13699	28.96
400	13232	14436	13757	28.96
402	13312	14506	13815	28.96
404	13392	14580	13872	28.96
406	13451	14653	13930	28.96
408	13494	14731	13988	28.96
410	13553	14823	14046	28.96
412	13588	14911	14104	28.96
414	13621	15012	14162	28.96
416	13653	15093	14220	28.96
418	13677	15187	14278	28.96
420	13694	15272	14336	NA
