depth	min95%	max95%	best	acc.rate
0	387	504	427	15.88
10	549	656	586	15.88
20	706	813	745	15.88
30	858	972	903	15.88
40	1008	1132	1062	15.88
50	1155	1293	1221	15.88
60	1304	1452	1380	15.88
70	1451	1614	1538	15.88
80	1601	1777	1697	15.88
90	1750	1940	1856	15.88
100	1897	2102	2015	15.88
110	2044	2266	2173	15.88
120	2191	2432	2332	15.88
130	2338	2598	2491	15.88
140	2482	2766	2650	15.88
150	2630	2934	2808	15.88
160	2778	3103	2967	15.88
170	2925	3272	3126	15.88
180	3174	3524	3378	47.09
190	3668	3977	3849	47.09
200	4158	4438	4320	47.09
210	4646	4901	4791	47.09
220	5128	5368	5262	47.09
230	5612	5845	5733	47.09
240	6093	6321	6204	47.09
250	6567	6799	6675	47.09
260	7029	7279	7146	47.09
270	7492	7764	7617	25.37
280	7559	7816	7675	3.64
290	7602	7845	7711	3.64
300	7648	7875	7748	3.64
310	7688	7904	7784	3.64
320	7731	7937	7820	3.64
330	7769	7967	7857	3.64
340	7802	7999	7893	3.64
350	7836	8035	7930	3.64
360	7868	8075	7966	3.64
370	7899	8117	8002	3.64
380	7929	8156	8039	3.64
390	7957	8197	8075	3.64
400	7987	8242	8111	3.64
410	8015	8289	8148	3.64
420	8051	8336	8189	5.07
430	8108	8381	8239	5.07
440	8164	8426	8290	5.07
450	8217	8473	8341	5.07
460	8269	8522	8392	5.07
470	8323	8575	8442	5.07
480	8374	8627	8493	5.07
490	8425	8680	8544	5.07
500	8474	8735	8594	5.07
510	8524	8792	8645	5.07
520	8573	8848	8696	5.07
530	8620	8902	8747	5.07
540	8670	8957	8797	5.07
550	8717	9013	8848	5.07
560	8765	9075	8899	5.07
570	8814	9132	8950	5.07
580	8860	9192	9000	5.07
590	8908	9249	9051	5.07
600	8952	9306	9102	5.07
610	8997	9362	9153	5.07
620	9131	9480	9279	21.94
630	9356	9664	9499	21.94
640	9580	9861	9718	21.94
650	9797	10079	9937	21.94
660	10006	10322	10157	21.94
670	10206	10570	10376	21.94
680	10475	10865	10658	31.57
690	10688	11287	10974	31.57
700	10821	11756	11290	31.57
710	11076	12170	11633	40.83
720	11598	12486	12041	40.83
730	12111	12818	12450	40.83
740	12584	13159	12858	40.83
750	13019	13567	13266	40.83
760	13400	13960	13650	31.06
770	13707	14264	13961	31.06
780	13887	14762	14271	31.06
790	14008	15256	14566	31.06
800	14128	15777	14877	31.06
810	14250	16302	15188	31.06
820	14365	16836	15498	31.06
830	14480	17360	15809	31.06
840	14599	17885	16119	31.06
850	14712	18439	16430	31.06
860	14825	18990	16740	31.06
870	14929	19543	17051	31.06
880	15045	20097	17362	31.06
890	15161	20651	17672	NA
