depth	min95%	max95%	best	acc.rate
37	74	237	156	4.19
55	153	309	231	4.19
85	276	438	357	4.19
105	352	532	441	4.19
123	417	615	517	4.19
135	462	670	567	4.19
155	536	769	651	4.19
165	572	821	693	4.19
175	610	873	735	4.19
185	648	924	777	4.19
195	683	973	819	4.19
205	719	1021	860	4.19
220	772	1094	923	4.19
236	872	1206	1031	10.88
265	1196	1508	1346	10.88
280	1363	1665	1509	10.88
320	1810	2084	1944	10.88
345	2088	2348	2216	10.88
372	2387	2633	2510	10.88
385	2532	2771	2652	10.88
400	2699	2934	2815	10.88
515	3959	4190	4066	10.88
540	4233	4466	4338	10.88
570	4559	4800	4664	10.88
595	4829	5079	4936	10.88
630	5205	5470	5317	10.88
660	5528	5807	5643	10.88
690	5850	6144	5970	10.88
720	6168	6483	6296	10.88
750	6854	7155	6979	30.67
810	8659	9020	8819	30.67
840	9546	9996	9739	30.67
860	10135	10649	10353	30.67
880	10718	11305	10966	30.67
890	11010	11633	11273	30.67
910	11574	12271	11871	30.67
920	11865	12601	12178	NA
