depth	min95%	max95%	best	acc.rate
37	61	225	145	3.97
55	133	298	217	3.98
85	249	429	337	4.02
105	324	521	417	4.05
123	387	605	490	4.08
135	431	663	539	4.1
155	506	754	622	4.15
165	541	804	663	4.17
175	577	850	705	4.2
185	615	894	747	4.23
195	652	938	790	4.26
205	688	982	833	4.29
220	744	1045	897	4.34
236	808	1114	967	4.4
265	918	1245	1097	4.59
280	979	1324	1167	4.73
320	1148	1556	1366	5.28
345	1273	1744	1503	5.73
372	1411	1965	1665	6.33
385	1487	2075	1750	6.65
400	1581	2211	1852	7.05
515	2565	3440	2881	11.2
540	2848	3777	3175	12.35
570	3241	4227	3567	13.85
595	3603	4613	3929	15.19
630	4181	5109	4494	17.23
660	4737	5647	5038	19.11
690	5362	6228	5640	21.12
720	6064	6857	6305	23.26
750	6827	7533	7035	25.43
810	8424	9017	8663	28.62
840	9238	9830	9537	29.6
860	9785	10413	10133	30.04
880	10338	11047	10736	30.29
890	10612	11363	11040	30.34
910	11157	12013	11647	30.36
920	11427	12352	11950	NA
