"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
37	0	1	1	1	3
55	0	1	1	1	3
85	0	1	1	1	3
105	0	1	1	1	3
123	0	1	1	1	3
135	0	1	1	1	3
155	0	1	1	1	3
165	0	1	1	1	3
175	0	1	1	1	3
185	0	1	1	1	3
195	0	1	1	1	3
205	0	1	1	1	3
220	0	1	1	1	3
236	0	1	1	1	3
265	0	1	1	1	3
280	0	1	1	0	2
320	0	1	1	0	2
345	0	1	0	0	1
372	0	1	0	0	1
385	0	1	0	0	1
400	0	1	0	0	1
515	0	0	0	0	0
540	0	0	0	0	0
570	0	1	0	0	1
595	0	1	0	0	1
630	0	1	0	0	1
660	0	1	1	1	3
690	0	1	1	1	3
720	0	1	1	1	3
750	0	1	1	0	2
810	0	0	0	0	0
840	0	1	0	0	1
860	0	1	0	0	1
880	0	1	1	1	3
890	0	1	1	1	3
910	0	1	1	1	3
920	0	1	1	0	2
