depth	min95%	max95%	best	acc.rate
804	-95	95	0	18.91
814	99	280	189	18.91
824	294	462	378	18.91
834	485	652	567	18.91
844	674	845	756	18.91
854	854	1040	945	18.91
864	1028	1238	1135	18.91
874	1203	1435	1324	18.91
884	1377	1633	1513	18.91
896	1583	1873	1740	18.91
900	1668	1962	1826	28.23
905	1821	2101	1968	28.23
912	2030	2291	2165	28.23
932	2606	2845	2730	28.23
952	3145	3419	3294	28.23
972	3674	4003	3859	28.23
990	4147	4540	4367	28.23
994	4253	4660	4480	28.23
998	4359	4780	4593	28.23
1000	4413	4840	4649	70.15
1002	4541	4979	4789	70.15
1004	4673	5122	4930	70.15
1010	5099	5553	5351	70.15
1030	6444	7020	6754	70.15
1050	7712	8538	8157	70.15
1062	8472	9454	8998	70.15
1072	9102	10225	9700	70.15
1082	9721	11001	10401	70.15
1092	10355	11781	11103	70.15
1097	10660	12178	11454	70.15
1100	10849	12408	11664	70.15
1102	10975	12562	11804	70.15
1105	11165	12793	12015	70.15
1107	11291	12946	12155	70.15
1108	11354	13023	12225	70.15
1109	11417	13100	12295	70.15
1111	11544	13255	12436	70.15
1112	11607	13333	12506	70.15
1117	11892	13681	12822	70.15
1120	12082	13910	13032	NA
