"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
804	1	1	1	1	4
814	1	1	1	1	4
824	1	1	1	1	4
834	1	1	1	1	4
844	1	1	1	1	4
854	1	1	1	1	4
864	1	1	1	1	4
874	1	1	1	1	4
884	1	1	1	1	4
896	1	1	1	1	4
900	1	1	1	1	4
905	1	1	1	1	4
912	1	1	1	1	4
932	1	1	1	0	3
952	1	1	0	0	2
972	1	1	0	0	2
990	1	1	1	1	4
994	1	1	1	1	4
998	1	1	1	1	4
1000	1	1	1	1	4
1002	1	1	1	1	4
1004	1	1	1	1	4
1010	1	1	1	1	4
1030	1	1	0	0	2
1050	1	0	0	0	1
1062	1	0	0	0	1
1072	1	1	0	0	2
1082	1	1	0	0	2
1092	1	1	1	1	4
1097	1	1	1	1	4
1100	1	1	1	1	4
1102	1	1	1	1	4
1105	1	1	1	1	4
1107	1	1	1	1	4
1108	1	1	1	1	4
1109	1	1	1	1	4
1111	1	1	1	0	3
1112	1	1	1	0	3
1117	0	1	1	0	2
1120	0	1	0	0	1
