"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
160	0	0	0	0	0
190	0	0	0	0	0
250	0	0	0	0	0
350	0	1	1	1	3
388	0	1	1	1	3
410	0	1	1	1	3
430	0	1	1	1	3
465	0	1	1	0	2
480	0	1	1	0	2
510	0	1	0	0	1
550	0	1	0	0	1
580	0	0	0	0	0
610	0	0	0	0	0
650	0	0	0	0	0
685	0	0	0	0	0
690	0	0	0	0	0
710	0	0	0	0	0
750	0	0	0	0	0
784	0	0	0	0	0
810	0	0	0	0	0
850	0	0	0	0	0
880	0	0	0	0	0
910	0	0	0	0	0
930	0	0	0	0	0
950	0	0	0	0	0
970	0	0	0	0	0
985	0	0	0	0	0
1020	0	1	0	0	1
1044	0	1	0	0	1
1070	0	1	0	0	1
1085	0	1	1	1	3
1105	0	1	1	1	3
1125	0	1	1	1	3
1145	0	1	1	1	3
1160	0	1	1	1	3
1180	0	1	1	1	3
1200	0	1	1	1	3
1220	0	1	1	0	2
1260	0	0	0	0	0
1310	0	1	0	0	1
1435	0	1	1	1	3
1460	0	1	1	0	2
1520	0	1	1	0	2
1540	0	1	1	1	3
1560	0	1	1	1	3
1656	0	1	1	1	3
1690	0	1	1	1	3
1725	0	1	1	1	3
1800	0	1	0	0	1
1824	0	1	0	0	1
1925	0	0	0	0	0
1976	0	0	0	0	0
2118	0	1	1	0	2
2190	0	0	0	0	0
2210	0	0	0	0	0
2230	0	0	0	0	0
2295	0	1	1	1	3
2320	0	1	1	1	3
2340	0	1	1	1	3
2442	0	1	1	0	2
2460	0	1	0	0	1
2490	0	1	0	0	1
2523	0	1	0	0	1
2528	0	1	0	0	1
2551	0	1	0	0	1
2566	0	1	0	0	1
2586	0	1	0	0	1
2606	0	1	0	0	1
2628	0	1	0	0	1
2690	0	1	0	0	1
2710	0	1	0	0	1
2730	0	1	0	0	1
2745	0	1	0	0	1
2785	0	1	1	1	3
2867	0	1	1	1	3
2905	0	1	1	1	3
2945	0	1	1	1	3
3000	0	1	1	1	3
3020	0	1	1	0	2
3049	0	1	1	0	2
