DEPTH (CM);SAMPLE AGE
160;
190;
250;
350;
388;
410;
430;3344
465;3712
480;3870
510;4185
550;4606
580;4922
610;5237
650;5658
685;6026
690;6079
710;6289
750;6710
784;7067
810;7341
850;7761
880;8077
910;8392
930;8603
950;8813
970;9023
985;9181
1020;9549
1044;9802
1070;10075
1085;10233
1105;10443
1125;10654
1145;10864
1160;11067
1180;11533
1200;12000
1220;12585
1260;13756
1310;15219
1435;16895
1460;17003
1520;17263
1540;17350
1560;17436
1656;17852
1690;18000
1725;18435
1800;19521
1824;19869
1925;21331
1976;22069
2118;24995
2190;32302
2210;34332
2230;36361
2295;
2320;
2340;
2442;
2460;
2490;
2523;
2528;
2551;
2566;
2586;
2606;
2628;
2690;
2710;
2730;
2745;
2785;
2867;
2905;
2945;
3000;
3020;
3049;
