depth	min95%	max95%	best	acc.rate
0	-95	101	0	56.3
5	202	367	282	56.3
10	492	635	563	56.3
15	777	910	845	56.3
20	1051	1198	1126	56.3
25	1323	1494	1408	64.34
30	1683	1845	1761	72.38
35	2049	2202	2123	72.38
40	2414	2561	2485	72.38
45	2776	2927	2847	72.38
50	3138	3297	3209	72.38
55	3498	3668	3571	72.38
60	3857	4038	3933	72.38
65	4214	4409	4295	72.38
70	4572	4781	4657	72.38
75	4929	5156	5019	72.38
80	5285	5531	5380	86.38
85	5781	6005	5868	100.37
90	6287	6493	6370	100.37
95	6789	6980	6872	100.37
100	7285	7469	7374	100.37
105	7785	7961	7876	100.37
110	8282	8454	8378	100.37
115	8772	8953	8879	100.37
120	9261	9461	9381	212.46
125	10818	10942	10892	324.56
130	12421	12559	12515	200.72
135	12933	13121	13023	76.88
140	13253	13595	13407	76.88
145	13562	14076	13792	76.88
150	13872	14557	14176	76.88
155	14151	14988	14522	76.88
160	14459	15471	14906	76.88
165	14764	15954	15291	76.88
170	15069	16436	15675	76.88
175	15374	16918	16060	13536.5
180	29424	30551	29942	98.87
185	29935	31021	30437	98.87
190	30441	31500	30931	98.87
195	30948	31977	31425	98.87
200	31426	32460	31920	98.87
205	31917	32941	32414	98.87
210	32405	33427	32908	98.87
215	32886	33918	33403	98.87
220	33361	34414	33897	98.87
225	33847	34902	34392	98.87
230	34311	35392	34886	98.87
235	34801	35885	35380	98.87
240	35274	36373	35875	98.87
245	35735	36869	36369	98.87
250	36205	37366	36863	98.87
255	36676	37863	37358	98.87
260	37123	38358	37852	98.87
265	37556	38845	38347	98.87
270	38018	39341	38841	98.87
275	38479	39843	39335	98.87
280	38948	40343	39830	98.87
285	39407	40843	40324	98.87
290	39858	41340	40818	98.87
295	40313	41840	41313	98.87
300	40776	42346	41807	98.87
305	41239	42849	42302	98.87
310	41704	43346	42796	98.87
315	42169	43847	43290	98.87
320	42634	44343	43785	98.87
325	43096	44841	44279	98.87
330	43552	45348	44773	98.87
335	44016	45854	45268	98.87
340	44476	46362	45762	98.87
345	44932	46869	46257	98.87
350	45375	47377	46751	98.87
355	45830	47883	47245	98.87
360	46271	48393	47740	98.87
365	46712	48903	48234	98.87
370	47153	49413	48728	98.87
