"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	0	0	0	0
5	0	1	0	0	1
10	0	1	1	1	3
15	0	1	1	1	3
20	0	1	1	1	3
25	0	1	1	1	3
30	0	1	1	1	3
35	0	1	1	1	3
40	0	1	1	1	3
45	0	1	1	1	3
50	0	1	1	1	3
55	0	1	1	1	3
60	0	1	1	1	3
65	0	1	1	1	3
70	0	1	1	1	3
75	0	1	1	1	3
80	0	1	1	0	2
85	0	1	1	0	2
90	0	1	1	1	3
95	0	1	1	1	3
100	0	1	1	1	3
105	0	1	1	1	3
110	0	1	1	1	3
115	0	1	1	1	3
120	0	1	1	1	3
125	0	1	1	1	3
130	0	1	1	1	3
135	0	1	1	1	3
140	0	1	1	1	3
145	0	1	1	1	3
150	0	1	1	1	3
155	0	1	1	1	3
160	0	1	1	1	3
165	0	1	1	1	3
170	0	1	1	1	3
175	0	1	1	1	3
180	0	1	1	1	3
185	0	1	1	1	3
190	0	1	1	1	3
195	0	1	1	1	3
200	0	1	1	1	3
205	0	1	1	1	3
210	0	1	1	0	2
215	0	1	0	0	1
220	0	1	0	0	1
225	0	1	0	0	1
230	0	1	1	1	3
235	0	1	1	1	3
240	0	1	1	1	3
245	0	1	1	1	3
250	0	1	1	1	3
255	0	1	1	0	2
260	0	1	1	0	2
265	0	1	1	0	2
270	0	1	0	0	1
275	0	1	0	0	1
280	0	1	0	0	1
285	0	1	0	0	1
290	0	1	0	0	1
295	0	1	0	0	1
300	0	1	1	1	3
305	0	1	1	1	3
310	0	1	1	1	3
315	0	1	1	1	3
320	0	1	1	1	3
325	0	1	1	1	3
330	0	1	1	1	3
335	0	1	1	0	2
340	0	1	1	0	2
345	0	1	0	0	1
350	0	1	0	0	1
355	0	1	0	0	1
360	0	1	0	0	1
365	0	1	0	0	1
370	0	1	1	1	3
375	0	1	1	1	3
380	0	1	1	1	3
385	0	1	1	1	3
390	0	1	1	1	3
395	0	1	1	1	3
400	0	1	1	1	3
405	0	1	1	1	3
410	0	1	1	1	3
415	0	1	1	1	3
420	0	1	1	1	3
425	0	1	1	1	3
430	0	1	1	1	3
435	0	1	1	1	3
440	0	1	1	1	3
445	0	1	1	1	3
450	0	1	1	0	2
455	0	1	0	0	1
460	0	1	0	0	1
465	0	1	1	1	3
470	0	1	0	0	1
475	0	0	0	0	0
480	0	0	0	0	0
485	0	1	0	0	1
490	0	1	1	1	3
495	0	1	1	1	3
500	0	1	1	1	3
505	0	1	1	1	3
510	0	1	1	1	3
515	0	1	1	1	3
520	0	1	1	1	3
525	0	1	1	1	3
530	0	1	1	1	3
535	0	1	1	1	3
540	0	1	1	1	3
545	0	1	1	1	3
550	0	1	1	1	3
555	0	1	1	1	3
560	0	1	1	1	3
565	0	1	1	1	3
570	0	1	1	0	2
575	0	1	0	0	1
580	0	1	0	0	1
585	0	1	0	0	1
590	0	0	0	0	0
595	0	0	0	0	0
600	0	0	0	0	0
605	0	0	0	0	0
610	0	0	0	0	0
615	0	0	0	0	0
620	0	0	0	0	0
625	1	0	0	0	1
630	1	0	0	0	1
635	1	0	0	0	1
640	1	0	0	0	1
645	1	0	0	0	1
650	1	0	0	1	2
655	1	1	0	1	3
660	1	1	0	1	3
665	1	1	0	1	3
670	1	1	1	0	3
675	1	1	1	1	4
680	1	1	1	1	4
685	1	1	1	1	4
690	1	1	1	1	4
695	1	1	1	1	4
700	1	1	1	1	4
705	1	1	1	1	4
710	1	1	1	0	3
715	1	1	0	0	2
720	1	1	0	0	2
725	1	1	0	0	2
730	1	1	0	0	2
735	1	1	0	0	2
740	1	1	0	0	2
745	1	1	1	1	4
750	1	1	1	1	4
755	1	1	1	1	4
760	1	1	1	1	4
765	1	1	1	1	4
770	1	1	1	0	3
775	1	1	1	0	3
780	1	1	0	0	2
785	1	1	0	0	2
790	1	1	0	0	2
795	1	1	0	0	2
800	1	0	0	0	1
805	1	0	0	0	1
810	1	0	0	0	1
815	1	0	0	0	1
820	1	0	0	0	1
825	1	0	0	0	1
830	1	1	0	0	2
835	1	1	0	0	2
840	1	1	0	0	2
845	1	1	0	0	2
850	1	1	0	0	2
855	1	1	1	1	4
860	1	1	1	1	4
865	1	1	1	1	4
870	1	1	1	1	4
875	1	1	1	1	4
880	0	1	1	1	3
