depth	min95%	max95%	best	acc.rate
0	-350	-46	-196	50.88
5	-63	168	58	50.88
10	223	392	312	50.88
15	505	637	567	50.88
20	767	928	821	50.88
25	1019	1200	1077	51.95
30	1282	1450	1336	51.95
35	1540	1697	1596	51.95
40	1799	1949	1856	51.95
45	2056	2199	2116	51.95
50	2313	2455	2375	51.95
55	2569	2718	2635	51.95
60	2824	2986	2895	51.95
65	3079	3255	3155	51.95
70	3333	3525	3414	51.95
75	3586	3795	3674	51.95
80	3840	4066	3934	130.55
85	4497	4712	4586	130.55
90	5143	5365	5239	130.55
95	5794	6018	5892	130.55
100	6440	6670	6545	130.55
105	7078	7324	7197	130.55
110	7716	7984	7850	130.55
115	8355	8644	8503	130.55
120	8988	9311	9156	130.55
125	9621	9979	9808	130.55
130	10251	10649	10461	130.55
135	10882	11322	11114	130.55
137	11133	11590	11375	NA
