depth	min95%	max95%	best	acc.rate
0	-160	31	-40	35.96
5	61	217	143	38.25
10	276	424	344	43.5
15	496	641	569	46.63
20	729	866	804	46.77
25	965	1088	1033	44.1
30	1177	1307	1248	41.69
35	1375	1524	1454	40.6
40	1569	1740	1657	40.82
45	1772	1968	1864	42.35
50	1985	2204	2081	45.21
55	2221	2459	2315	49.37
60	2478	2733	2572	54.85
65	2771	3038	2859	61.65
70	3099	3372	3183	69.76
75	3470	3751	3550	79.19
80	3888	4176	3967	89.92
85	4357	4646	4438	100.56
90	4873	5167	4961	110.16
95	5427	5736	5529	118.71
100	6024	6346	6138	126.21
105	6655	6984	6783	132.67
110	7313	7652	7457	138.08
115	7993	8338	8157	142.45
120	8692	9045	8876	145.77
125	9400	9779	9610	148.05
130	10114	10533	10353	149.28
135	10839	11299	11100	149.52
137	11127	11608	11399	NA
