depth	min95%	max95%	best	acc.rate
0	-98	99	0	4.61
2	-87	107	10	4.61
4	-77	114	19	4.61
6	-66	122	28	4.61
8	-55	129	37	4.61
10	-44	136	46	4.61
12	-33	144	56	4.61
14	-23	151	65	4.61
16	-12	159	74	4.61
18	-2	167	83	4.61
20	9	175	93	4.61
22	20	183	102	4.61
24	31	191	111	4.61
26	42	199	120	4.61
28	53	207	129	4.61
30	63	215	139	4.61
32	74	223	148	4.61
34	85	230	157	4.61
36	95	239	166	4.61
38	106	247	176	4.61
40	117	255	185	4.61
42	126	263	194	4.61
44	136	271	203	4.61
46	146	280	212	4.61
48	157	288	222	4.61
50	167	296	231	4.61
55	193	316	254	4.61
60	220	337	277	4.61
65	244	358	300	4.61
70	269	378	323	4.61
75	293	398	346	4.61
80	319	419	369	4.61
85	343	440	392	4.61
90	367	461	415	4.61
95	391	482	438	4.61
100	414	504	461	4.61
105	438	526	484	4.61
110	462	549	507	4.61
115	483	572	530	4.61
120	506	596	553	4.61
125	528	620	576	4.61
130	553	646	602	6.61
135	588	676	635	6.61
140	622	708	668	6.61
145	655	744	701	6.61
150	688	779	734	6.61
155	720	815	767	6.61
160	751	852	800	6.61
165	783	888	833	6.61
170	816	926	866	6.61
175	845	964	899	6.61
180	874	1002	932	6.61
185	903	1039	965	6.61
190	956	1088	1016	12.58
195	1023	1147	1079	12.58
200	1087	1207	1142	12.58
205	1149	1271	1205	12.58
210	1210	1337	1268	12.58
215	1270	1404	1331	12.58
220	1329	1475	1394	12.58
225	1391	1547	1457	12.58
230	1448	1620	1519	12.58
235	1505	1696	1582	12.58
240	1560	1771	1645	12.58
245	1605	1820	1693	7.43
250	1646	1854	1730	7.43
255	1685	1888	1767	7.43
260	1725	1921	1804	7.43
265	1765	1954	1841	7.43
270	1803	1988	1879	7.43
275	1841	2020	1916	7.43
280	1879	2055	1953	7.43
285	1917	2090	1990	7.43
290	1955	2125	2027	7.43
295	1991	2161	2065	7.43
300	2028	2195	2102	7.43
305	2064	2230	2139	7.43
310	2101	2265	2176	7.43
315	2139	2301	2213	7.43
320	2175	2341	2250	7.43
325	2212	2381	2288	7.43
330	2246	2419	2325	7.43
335	2283	2455	2362	7.43
340	2318	2495	2399	7.43
345	2354	2533	2436	7.43
350	2392	2571	2473	7.43
355	2426	2611	2511	7.43
360	2462	2653	2548	7.43
365	2498	2692	2585	7.43
370	2533	2729	2622	7.43
375	2569	2769	2659	7.43
380	2606	2811	2696	7.43
385	2640	2853	2734	7.43
390	2674	2895	2771	7.43
395	2704	2935	2808	7.43
400	2733	2978	2845	7.43
405	2765	3022	2882	7.43
410	2800	3065	2919	7.43
415	2834	3103	2955	5.47
420	2864	3129	2982	5.47
425	2894	3155	3009	5.47
430	2925	3180	3037	5.47
435	2955	3205	3064	5.47
440	2985	3229	3091	5.47
445	3014	3254	3119	5.47
450	3043	3279	3146	5.47
455	3071	3304	3173	5.47
460	3099	3328	3201	5.47
465	3128	3353	3228	5.47
470	3156	3378	3255	5.47
475	3184	3403	3283	5.47
480	3210	3429	3310	5.47
485	3239	3454	3337	5.47
490	3267	3478	3365	5.47
495	3296	3504	3392	5.47
500	3323	3530	3419	5.47
505	3350	3555	3447	5.47
510	3377	3582	3474	5.47
515	3404	3607	3501	5.47
520	3432	3633	3529	5.47
525	3460	3660	3556	5.47
530	3489	3686	3583	5.47
535	3517	3712	3611	5.47
540	3545	3739	3638	5.47
545	3574	3766	3666	5.47
550	3602	3793	3693	5.47
555	3629	3820	3720	5.47
560	3657	3847	3748	5.47
565	3682	3874	3775	5.47
570	3708	3901	3802	5.47
575	3735	3927	3830	5.47
580	3761	3955	3857	5.47
585	3788	3982	3884	5.47
590	3814	4009	3912	5.47
595	3840	4034	3939	5.47
600	3866	4060	3966	5.47
605	3891	4086	3994	5.47
610	3918	4114	4021	5.47
615	3944	4141	4048	5.47
620	3970	4169	4076	5.47
625	3998	4196	4103	5.47
630	4023	4223	4130	5.47
635	4050	4251	4158	5.47
640	4076	4278	4185	5.47
645	4101	4306	4212	5.47
650	4127	4333	4240	5.47
655	4153	4361	4267	5.47
660	4179	4388	4294	5.47
665	4205	4416	4322	5.47
670	4230	4443	4349	5.47
675	4255	4470	4376	5.47
680	4279	4497	4404	5.47
685	4305	4523	4431	5.47
690	4331	4550	4458	5.47
695	4357	4578	4486	5.47
700	4382	4606	4513	5.47
705	4407	4635	4540	5.47
710	4432	4663	4568	5.47
715	4457	4690	4595	5.47
720	4482	4718	4622	5.47
725	4509	4746	4650	5.47
730	4535	4774	4677	5.47
735	4560	4802	4704	5.47
740	4585	4831	4732	5.47
745	4630	4865	4769	10.32
750	4702	4922	4820	10.32
755	4751	4985	4872	10.32
760	4794	5050	4924	10.32
765	4832	5118	4975	10.32
770	4862	5192	5027	10.32
775	4885	5273	5078	34.14
780	5075	5426	5249	34.14
785	5262	5579	5420	34.14
790	5449	5734	5590	34.14
795	5633	5890	5761	34.14
800	5816	6049	5932	34.14
805	5995	6209	6103	34.14
810	6170	6375	6273	34.14
815	6339	6544	6444	34.14
820	6505	6717	6615	34.14
825	6668	6899	6785	34.14
830	6883	7083	6985	41.49
835	7111	7271	7193	41.49
840	7331	7470	7400	41.49
845	7540	7668	7608	41.49
850	7740	7878	7815	41.49
855	7947	8093	8028	43.95
860	8173	8309	8247	43.95
865	8396	8525	8467	43.95
870	8619	8745	8687	43.95
875	8840	8963	8907	43.95
880	9060	9186	9126	43.95
885	9279	9409	9346	43.95
890	9496	9634	9566	43.95
895	9710	9859	9786	43.95
900	9923	10085	10005	43.95
905	10135	10315	10225	43.95
910	10347	10545	10445	43.95
915	10559	10771	10663	42.44
920	10774	10977	10875	42.44
925	10986	11184	11088	42.44
930	11203	11395	11300	42.44
935	11417	11605	11512	42.44
940	11630	11818	11724	42.44
945	11841	12032	11936	42.44
950	12048	12246	12149	42.44
955	12257	12461	12361	42.44
960	12465	12675	12573	42.44
965	12671	12890	12785	42.44
970	12877	13108	12997	42.44
975	13085	13326	13209	42.44
980	13289	13544	13422	42.44
985	13494	13762	13634	42.44
990	13700	13980	13846	42.44
995	13905	14198	14058	42.44
1000	14112	14417	14270	42.44
1005	14317	14639	14483	42.44
1010	14518	14860	14695	42.44
1015	14720	15081	14907	42.44
1020	14923	15301	15119	42.44
1025	15125	15521	15331	42.44
1030	15327	15740	15543	42.44
1035	15530	15959	15756	42.44
