depth	min95%	max95%	best	acc.rate
0	-126	55	-15	3.9
2	-116	62	-7	3.9
4	-105	69	0	3.9
6	-96	76	8	3.9
8	-86	84	16	3.91
10	-76	91	24	3.91
12	-66	98	32	3.92
14	-56	105	39	3.93
16	-46	113	47	3.94
18	-36	120	55	3.95
20	-27	128	63	3.96
22	-17	135	71	3.97
24	-7	143	79	3.98
26	2	150	87	4
28	11	157	95	4.01
30	20	165	103	4.03
32	29	172	111	4.05
34	37	179	119	4.07
36	46	187	127	4.09
38	56	195	136	4.11
40	65	203	144	4.13
42	73	211	152	4.16
44	81	218	160	4.18
46	92	226	169	4.21
48	102	234	177	4.23
50	112	242	186	4.26
55	137	262	207	4.34
60	163	283	229	4.42
65	188	304	251	4.51
70	213	325	274	4.61
75	238	347	297	4.71
80	263	369	321	4.83
85	287	392	345	4.94
90	313	416	370	5.07
95	340	441	396	5.2
100	368	465	422	5.35
105	396	489	449	5.49
110	424	516	477	5.65
115	454	544	506	5.81
120	484	574	535	5.98
125	514	606	565	6.16
130	546	639	596	6.34
135	577	673	628	6.54
140	610	708	662	6.75
145	644	745	696	6.97
150	679	783	731	7.21
155	715	823	768	7.46
160	752	864	805	7.72
165	792	905	845	8
170	833	949	885	8.29
175	875	993	927	8.6
180	917	1039	971	8.92
185	961	1085	1016	9.25
190	1005	1135	1063	9.58
195	1053	1184	1112	9.88
200	1099	1233	1161	10.12
205	1147	1284	1213	10.33
210	1194	1336	1265	10.5
215	1241	1388	1317	10.62
220	1289	1441	1370	10.69
225	1337	1493	1424	10.73
230	1387	1545	1478	10.72
235	1437	1599	1531	10.67
240	1485	1651	1584	10.58
245	1534	1704	1637	10.45
250	1584	1756	1689	10.32
255	1630	1807	1740	10.18
260	1680	1858	1791	10.04
265	1726	1908	1841	9.89
270	1774	1959	1890	9.74
275	1822	2009	1938	9.59
280	1870	2057	1986	9.43
285	1917	2105	2033	9.27
290	1958	2152	2079	9.1
295	2005	2198	2124	8.93
300	2049	2242	2168	8.75
305	2089	2287	2212	8.57
310	2134	2330	2254	8.39
315	2173	2373	2296	8.2
320	2206	2414	2336	8
325	2247	2454	2376	7.81
330	2284	2493	2415	7.61
335	2317	2531	2452	7.4
340	2358	2568	2489	7.19
345	2389	2603	2524	6.97
350	2418	2637	2559	6.75
355	2445	2672	2592	6.53
360	2471	2704	2624	6.3
365	2497	2737	2655	6.07
370	2521	2767	2685	5.84
375	2543	2796	2714	5.6
380	2566	2825	2741	5.35
385	2587	2852	2768	5.1
390	2604	2878	2793	4.85
395	2621	2903	2816	4.59
400	2639	2927	2839	4.33
405	2659	2950	2860	4.06
410	2674	2971	2880	3.79
415	2688	2992	2898	3.52
420	2703	3009	2915	3.25
425	2712	3027	2931	3
430	2722	3043	2946	2.77
435	2736	3057	2959	2.55
440	2748	3071	2971	2.35
445	2757	3084	2983	2.16
450	2764	3096	2993	1.99
455	2771	3110	3003	1.83
460	2779	3121	3012	1.68
465	2786	3130	3020	1.56
470	2794	3142	3027	1.44
475	2803	3153	3034	1.34
480	2812	3163	3041	1.26
485	2820	3173	3047	1.19
490	2828	3180	3053	1.14
495	2834	3187	3058	1.1
500	2837	3193	3064	1.08
505	2840	3202	3069	1.07
510	2844	3211	3075	1.08
515	2847	3221	3080	1.1
520	2852	3229	3086	1.14
525	2857	3237	3091	1.19
530	2864	3247	3098	1.26
535	2872	3257	3104	1.34
540	2880	3267	3111	1.44
545	2890	3276	3118	1.56
550	2901	3285	3126	1.68
555	2910	3296	3135	1.83
560	2918	3307	3145	1.98
565	2932	3319	3155	2.16
570	2947	3333	3166	2.35
575	2963	3347	3178	2.55
580	2976	3362	3191	2.77
585	2990	3379	3206	3
590	3014	3395	3221	3.25
595	3039	3413	3238	3.51
600	3054	3433	3256	3.79
605	3072	3454	3276	4.09
610	3091	3476	3297	4.4
615	3112	3499	3319	4.72
620	3135	3523	3344	5.06
625	3163	3549	3370	5.41
630	3193	3578	3397	5.78
635	3227	3607	3427	6.17
640	3262	3638	3459	6.57
645	3299	3671	3492	6.98
