"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
20	0	1	1	1	3
40	0	1	1	1	3
60	0	1	1	1	3
80	0	1	1	1	3
100	0	1	1	1	3
120	0	1	1	1	3
140	0	1	1	1	3
160	0	1	1	1	3
180	0	1	1	1	3
200	0	1	1	1	3
220	0	1	1	1	3
240	0	1	1	1	3
260	0	1	1	1	3
280	0	1	1	1	3
300	0	1	1	1	3
320	0	1	1	1	3
340	0	1	1	1	3
360	0	1	1	1	3
380	0	1	1	1	3
400	0	1	1	1	3
420	0	1	1	1	3
440	0	1	1	1	3
460	0	1	1	1	3
480	0	1	1	1	3
500	0	1	1	1	3
520	0	1	1	1	3
540	0	1	1	1	3
560	0	1	1	1	3
580	0	1	1	1	3
600	0	1	1	1	3
620	0	1	1	1	3
640	0	1	1	1	3
660	0	1	1	1	3
680	0	1	1	1	3
700	0	1	1	1	3
720	0	1	1	1	3
740	0	1	1	1	3
760	0	1	1	1	3
780	0	1	1	1	3
800	0	1	1	1	3
820	0	1	1	1	3
840	0	1	1	1	3
860	0	1	1	1	3
880	0	1	1	1	3
900	0	1	1	1	3
920	0	1	1	1	3
940	0	1	1	1	3
960	0	1	1	1	3
980	0	1	1	1	3
1000	0	1	1	1	3
1020	0	1	1	1	3
1040	0	1	1	1	3
1060	0	1	1	1	3
1080	0	1	1	1	3
1100	1	1	1	1	4
1120	1	1	1	1	4
1140	1	1	1	1	4
1160	1	1	1	1	4
1180	1	1	1	1	4
1200	1	1	1	1	4
1220	1	1	1	1	4
1240	1	1	1	1	4
1260	1	1	1	1	4
1280	1	1	1	1	4
1300	1	1	1	1	4
1320	1	1	1	1	4
1340	1	1	1	1	4
1360	1	1	1	1	4
1380	1	1	1	1	4
1400	1	1	1	1	4
1420	1	1	1	1	4
1440	1	1	1	1	4
1460	1	1	1	1	4
1480	1	1	1	1	4
1500	1	1	1	1	4
1520	1	1	1	1	4
1540	1	1	1	1	4
1560	1	1	1	1	4
1580	1	1	1	1	4
1600	1	1	1	1	4
1620	1	1	1	1	4
1640	1	1	1	1	4
1660	1	1	1	1	4
1680	1	1	1	1	4
1700	1	1	1	1	4
1720	1	1	1	1	4
1740	1	1	1	1	4
1760	1	1	1	1	4
1780	1	1	1	1	4
1800	0	1	1	1	3
1820	0	1	1	1	3
1840	0	1	1	0	2
1860	0	1	1	0	2
1880	0	1	1	0	2
1900	0	1	0	0	1
1920	0	1	0	0	1
1940	0	1	0	0	1
1960	0	1	0	0	1
1980	0	1	0	0	1
2000	0	0	0	0	0
