depth	min95%	max95%	best	acc.rate
20	-204	75	-18	2.97
40	-128	146	42	3.04
60	-52	224	104	3.16
80	24	300	169	3.33
100	100	381	237	3.54
120	174	462	311	3.8
140	257	542	389	4.09
160	341	623	474	4.33
180	427	704	562	4.48
200	514	786	652	4.55
220	601	869	743	4.54
240	690	952	833	4.45
260	779	1031	921	4.27
280	863	1106	1004	4.02
300	945	1182	1081	3.7
320	1020	1251	1152	3.39
340	1093	1315	1217	3.09
360	1159	1373	1276	2.8
380	1213	1426	1330	2.52
400	1263	1471	1378	2.26
420	1314	1512	1420	2
440	1361	1548	1458	1.76
460	1395	1581	1491	1.52
480	1423	1610	1519	1.3
500	1449	1633	1543	1.09
520	1469	1650	1563	0.9
540	1486	1665	1579	0.73
560	1501	1677	1592	0.57
580	1512	1686	1603	0.44
600	1520	1693	1610	0.32
620	1527	1696	1616	0.22
640	1533	1697	1619	0.14
660	1537	1700	1621	0.08
680	1542	1699	1623	0.04
700	1543	1700	1623	0.02
720	1543	1700	1623	0.01
740	1546	1697	1624	0.02
760	1549	1696	1624	0.06
780	1553	1697	1626	0.11
800	1558	1699	1629	0.18
820	1566	1700	1633	0.27
840	1575	1705	1640	0.38
860	1585	1712	1648	0.5
880	1596	1722	1659	0.63
900	1612	1738	1673	0.77
920	1630	1752	1690	0.92
940	1651	1772	1710	1.07
960	1675	1794	1733	1.24
980	1702	1819	1759	1.41
1000	1734	1850	1789	1.59
1020	1770	1885	1823	1.79
1040	1808	1926	1860	1.98
1060	1850	1971	1902	2.19
1080	1894	2019	1948	2.41
1100	1941	2071	1998	2.63
1120	1992	2128	2053	2.85
1140	2047	2186	2112	3.06
1160	2106	2254	2175	3.26
1180	2167	2325	2242	3.46
1200	2234	2401	2313	3.65
1220	2305	2478	2388	3.83
1240	2380	2557	2466	4.01
1260	2458	2643	2548	4.18
1280	2541	2730	2634	4.36
1300	2629	2821	2723	4.56
1320	2724	2921	2816	4.78
1340	2824	3021	2914	5.01
1360	2929	3127	3016	5.25
1380	3042	3237	3124	5.51
1400	3158	3352	3236	5.79
1420	3278	3471	3355	6.08
1440	3406	3598	3479	6.39
1460	3535	3727	3610	6.69
1480	3675	3863	3747	6.98
1500	3817	4009	3889	7.26
1520	3964	4155	4037	7.53
1540	4114	4314	4190	7.79
1560	4271	4473	4348	8.03
1580	4434	4639	4511	8.26
1600	4603	4804	4678	8.49
1620	4776	4973	4850	8.69
1640	4950	5146	5026	8.89
1660	5129	5321	5205	9.07
1680	5310	5498	5388	9.22
1700	5488	5678	5574	9.34
1720	5663	5860	5761	9.43
1740	5841	6043	5951	9.5
1760	6025	6229	6141	9.54
1780	6208	6414	6332	9.56
1800	6388	6599	6523	9.56
1820	6566	6791	6714	9.56
1840	6749	6991	6906	9.56
1860	6926	7194	7097	9.56
1880	7094	7399	7288	9.56
1900	7263	7604	7479	9.56
1920	7437	7810	7670	9.56
1940	7617	8015	7861	9.56
1960	7785	8221	8053	9.56
1980	7955	8426	8244	9.56
2000	8129	8632	8435	NA
