"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	0	0	1
4	0	1	1	1	3
8	0	1	1	1	3
12	0	1	1	1	3
16	0	1	1	1	3
20	0	1	1	1	3
24	0	1	1	1	3
28	0	1	1	1	3
32	0	1	1	1	3
36	0	1	1	1	3
40	0	1	1	1	3
44	0	1	1	1	3
48	0	1	1	1	3
52	0	1	1	1	3
56	0	1	1	1	3
60	0	1	1	1	3
64	0	1	1	1	3
68	0	1	1	1	3
72	0	1	1	1	3
76	0	1	1	1	3
80	0	1	1	1	3
84	0	1	1	1	3
88	0	1	1	1	3
92	0	1	1	1	3
96	0	1	1	1	3
100	0	1	1	1	3
104	0	1	1	1	3
108	0	1	1	1	3
112	0	1	1	1	3
116	0	1	1	1	3
120	0	1	1	1	3
124	0	1	1	1	3
128	0	1	1	1	3
132	0	1	1	1	3
136	0	1	1	1	3
140	0	1	1	1	3
144	0	1	1	1	3
148	0	1	1	1	3
152	0	1	1	1	3
156	0	1	1	1	3
160	0	1	1	1	3
164	0	1	1	1	3
168	0	1	1	1	3
172	0	1	1	1	3
176	0	1	1	1	3
180	0	1	1	1	3
184	0	1	1	1	3
188	0	1	1	1	3
192	0	1	1	1	3
196	0	1	1	1	3
200	0	1	1	1	3
204	0	1	1	1	3
208	0	1	1	1	3
212	0	1	1	1	3
216	0	1	1	1	3
220	0	1	1	1	3
224	0	1	1	1	3
228	0	1	1	1	3
232	0	1	1	1	3
236	0	1	1	1	3
240	0	1	1	1	3
244	0	1	1	1	3
248	0	1	1	1	3
252	0	1	1	1	3
256	0	1	1	1	3
260	0	1	1	1	3
264	0	1	1	1	3
268	0	1	1	1	3
272	0	1	1	1	3
276	0	1	1	1	3
280	0	1	1	1	3
284	0	1	1	1	3
288	0	1	1	1	3
292	0	1	1	1	3
296	0	1	1	1	3
300	0	1	1	1	3
304	0	1	1	1	3
308	0	1	1	1	3
312	0	1	1	1	3
316	0	1	1	1	3
320	0	1	1	1	3
324	0	1	1	1	3
328	0	1	1	1	3
332	0	1	1	1	3
336	0	1	1	1	3
340	0	1	1	1	3
344	0	1	1	1	3
348	0	1	1	1	3
352	0	1	1	1	3
356	0	1	1	1	3
360	0	1	1	1	3
364	0	1	1	1	3
368	0	1	1	1	3
372	0	1	1	1	3
376	0	1	1	1	3
380	0	1	1	1	3
384	0	1	1	1	3
388	0	1	1	1	3
392	0	1	1	1	3
396	0	1	1	1	3
400	0	1	1	1	3
404	0	1	1	1	3
408	0	1	1	1	3
412	0	1	1	1	3
416	0	1	1	1	3
420	0	1	1	1	3
424	0	1	1	1	3
428	0	1	1	1	3
432	0	1	1	1	3
436	0	1	1	1	3
440	0	1	1	1	3
444	0	1	1	1	3
448	0	1	1	1	3
452	0	1	1	1	3
456	0	1	1	1	3
460	0	1	1	1	3
464	0	1	1	1	3
468	0	1	1	1	3
472	0	1	1	1	3
476	0	1	1	1	3
480	0	1	1	1	3
484	0	1	1	1	3
488	0	1	1	1	3
492	0	1	1	1	3
496	0	1	1	1	3
500	0	1	1	1	3
504	0	1	1	1	3
508	0	1	1	1	3
512	0	1	1	1	3
516	0	1	1	1	3
520	0	1	1	0	2
524	0	1	1	0	2
528	0	1	1	0	2
532	0	1	1	0	2
536	0	1	1	0	2
540	0	1	1	1	3
544	0	1	1	1	3
548	0	1	1	1	3
552	0	1	1	1	3
556	0	1	1	1	3
560	0	1	1	1	3
564	0	1	1	1	3
568	0	1	1	1	3
572	0	1	1	1	3
576	0	1	1	1	3
580	0	1	1	1	3
584	0	1	1	1	3
588	0	1	1	1	3
592	0	1	1	1	3
596	0	1	1	1	3
600	0	1	1	1	3
604	0	1	1	1	3
608	0	1	1	1	3
612	0	1	1	1	3
616	0	1	1	1	3
620	0	1	1	1	3
624	0	1	1	1	3
628	0	1	1	1	3
630	0	1	1	1	3
