depth	min95%	max95%	best	acc.rate
0	-135	47	-43	4.48
4	-114	62	-25	4.48
8	-91	76	-8	4.48
12	-70	93	10	4.48
16	-50	109	28	4.48
20	-30	125	46	4.48
24	-12	141	64	4.48
28	8	156	82	4.48
32	27	172	100	4.48
36	46	188	118	4.48
40	63	205	136	4.48
44	81	222	154	4.48
48	99	241	172	4.48
52	116	259	189	4.48
56	135	278	207	4.48
60	152	297	225	4.48
64	169	315	243	4.48
68	186	333	261	4.48
72	203	352	279	4.48
76	221	370	297	4.48
80	236	389	315	4.48
84	251	409	333	4.48
88	268	428	351	4.48
92	284	448	368	4.48
96	299	468	386	4.48
100	314	490	404	4.48
104	354	511	436	9.87
108	406	540	475	9.87
112	454	576	515	9.87
116	495	613	554	9.87
120	526	656	591	7.8
124	560	686	623	7.8
128	594	715	654	7.8
132	626	743	685	7.8
136	660	772	716	7.8
140	691	802	747	7.8
144	723	832	779	7.8
148	755	862	810	7.8
152	788	892	841	7.8
156	821	923	872	7.8
160	853	954	903	7.8
164	883	986	934	7.8
168	911	1017	966	7.8
172	940	1048	997	7.8
176	970	1079	1028	7.8
180	998	1111	1059	7.8
184	1021	1144	1090	7.8
188	1045	1179	1122	7.8
192	1074	1214	1153	7.8
196	1101	1248	1184	7.8
200	1125	1282	1215	7.8
204	1149	1316	1246	7.8
208	1173	1350	1277	7.8
212	1198	1385	1309	7.8
216	1222	1408	1331	3.53
220	1246	1419	1345	3.53
224	1270	1432	1360	3.53
228	1289	1445	1374	3.53
232	1306	1458	1388	3.53
236	1324	1471	1402	3.53
240	1341	1485	1416	3.53
244	1357	1501	1430	3.53
248	1375	1518	1444	3.53
252	1390	1534	1458	3.53
256	1402	1548	1472	3.53
260	1414	1563	1487	3.53
264	1428	1582	1501	3.53
268	1441	1598	1515	3.53
272	1454	1615	1529	3.53
276	1465	1633	1543	3.53
280	1477	1650	1557	3.53
284	1489	1668	1571	3.53
288	1500	1687	1585	3.53
292	1509	1705	1600	3.53
296	1518	1725	1614	3.53
300	1526	1743	1628	3.53
304	1537	1763	1642	3.53
308	1548	1783	1656	3.53
312	1559	1803	1670	3.53
316	1572	1817	1684	3.19
320	1586	1826	1696	3.19
324	1601	1836	1709	3.19
328	1616	1846	1722	3.19
332	1631	1857	1735	3.19
336	1647	1867	1747	3.19
340	1661	1879	1760	3.19
344	1675	1889	1773	3.19
348	1690	1898	1786	3.19
352	1705	1910	1798	3.19
356	1718	1922	1811	3.19
360	1733	1932	1824	3.19
364	1747	1943	1837	3.19
368	1760	1954	1849	3.19
372	1773	1966	1862	3.19
376	1785	1974	1875	3.19
380	1798	1986	1888	3.19
384	1809	1996	1900	3.19
388	1822	2007	1913	3.19
392	1834	2019	1926	3.19
396	1846	2033	1939	3.19
400	1857	2044	1951	3.19
404	1869	2056	1964	3.19
408	1880	2070	1977	3.19
412	1891	2082	1990	3.19
416	1903	2095	2002	3.19
420	1912	2108	2015	3.19
424	1922	2122	2028	3.19
428	1933	2134	2041	3.19
432	1945	2148	2053	3.19
436	1954	2162	2066	3.19
440	1964	2175	2079	3.19
444	1974	2189	2092	3.19
448	1985	2204	2104	3.19
452	1996	2217	2117	3.19
456	2008	2231	2130	3.19
460	2018	2245	2143	3.19
464	2027	2261	2155	3.19
468	2038	2275	2168	3.19
472	2047	2289	2181	3.19
476	2056	2305	2194	3.19
480	2066	2320	2206	3.19
484	2097	2352	2239	12.97
488	2153	2400	2291	12.97
492	2210	2449	2342	12.97
496	2265	2499	2394	12.97
500	2320	2551	2446	12.97
504	2373	2602	2498	12.97
508	2428	2653	2550	12.97
512	2481	2705	2602	12.97
516	2533	2756	2654	12.97
520	2587	2809	2706	12.97
524	2639	2861	2758	12.97
528	2691	2912	2809	12.97
532	2743	2966	2861	12.97
536	2796	3020	2913	12.97
540	2847	3073	2965	12.97
544	2901	3127	3017	12.97
548	2951	3183	3069	12.97
552	3001	3237	3121	12.97
556	3048	3292	3173	12.97
560	3099	3346	3225	12.97
564	3150	3403	3276	12.97
568	3197	3458	3328	12.97
572	3244	3513	3380	12.97
576	3290	3568	3432	12.97
580	3340	3623	3484	12.97
584	3390	3679	3536	12.97
588	3436	3734	3588	12.97
592	3483	3790	3640	12.97
596	3529	3847	3692	12.97
600	3574	3905	3743	12.97
604	3620	3963	3795	12.97
608	3665	4020	3847	12.97
612	3710	4076	3899	12.97
616	3755	4134	3951	12.97
620	3803	4192	4003	12.97
624	3850	4250	4055	12.97
628	3894	4309	4107	12.97
630	3916	4337	4133	NA
