depth	min95%	max95%	best	acc.rate
157	670	858	784	2.19
163	691	869	797	2.2
169	708	879	810	2.21
175	724	892	823	2.23
181	741	904	837	2.26
187	756	917	850	2.29
193	772	930	864	2.33
199	788	943	878	2.38
205	804	956	893	2.44
211	821	972	908	2.5
217	839	988	923	2.57
223	858	1005	938	2.65
229	877	1023	955	2.74
235	893	1043	971	2.83
241	914	1061	989	2.94
247	935	1081	1006	3.04
253	951	1105	1025	3.16
259	968	1129	1044	3.28
265	984	1151	1064	3.42
271	1003	1175	1085	3.56
277	1022	1201	1107	3.7
283	1041	1225	1129	3.86
289	1060	1254	1153	4.03
295	1081	1285	1178	4.22
301	1102	1314	1203	4.43
307	1125	1345	1231	4.65
313	1149	1375	1259	4.9
319	1178	1409	1289	5.16
325	1208	1449	1321	5.43
331	1239	1487	1354	5.73
337	1276	1527	1389	6.05
343	1311	1573	1426	6.38
349	1349	1624	1465	6.73
355	1389	1678	1507	7.09
361	1430	1735	1550	7.48
367	1475	1784	1596	7.88
373	1521	1841	1644	8.3
379	1571	1889	1695	8.74
385	1626	1943	1749	9.19
391	1682	2004	1805	9.67
397	1741	2072	1864	10.16
403	1804	2144	1927	10.67
409	1870	2219	1992	11.19
415	1941	2295	2060	11.74
421	2016	2372	2132	12.3
427	2094	2451	2208	12.88
433	2176	2527	2286	13.48
439	2261	2606	2369	14.09
445	2352	2697	2455	14.73
451	2446	2791	2545	15.38
457	2544	2883	2639	16.04
463	2643	2983	2737	16.73
469	2731	3082	2839	17.43
475	2810	3188	2945	18.14
481	2889	3296	3056	18.73
487	2967	3406	3169	19.2
493	3048	3518	3285	19.54
499	3129	3631	3403	19.76
505	3208	3747	3522	19.84
511	3291	3863	3641	19.81
517	3369	3978	3759	19.64
523	3450	4088	3877	19.35
529	3530	4200	3992	18.93
535	3612	4306	4104	18.39
541	3692	4408	4213	17.71
547	3772	4508	4317	16.92
553	3849	4602	4416	15.99
559	3923	4691	4510	14.94
565	3999	4778	4596	13.76
571	4073	4854	4676	12.56
577	4144	4926	4748	11.43
583	4213	4995	4814	10.37
589	4281	5064	4874	9.39
595	4346	5124	4928	8.48
601	4410	5179	4977	7.64
607	4474	5227	5021	6.88
613	4535	5271	5060	6.19
619	4596	5307	5096	5.57
625	4655	5343	5128	5.03
631	4715	5377	5157	4.56
637	4768	5406	5183	4.17
643	4821	5431	5207	3.85
649	4872	5453	5230	3.6
655	4917	5471	5251	3.43
661	4966	5493	5271	3.33
667	5015	5509	5291	3.31
673	5066	5526	5311	3.35
679	5101	5541	5331	3.48
685	5136	5558	5353	3.67
691	5171	5573	5375	3.87
696	5208	5591	5395	4.03
702	5238	5604	5420	4.23
708	5259	5622	5445	4.41
714	5274	5641	5472	4.59
720	5293	5659	5500	4.77
726	5317	5677	5529	4.94
732	5341	5698	5559	5.1
738	5359	5722	5590	5.26
744	5387	5745	5622	5.41
750	5410	5771	5655	5.55
756	5435	5798	5689	5.69
762	5465	5827	5723	5.82
768	5493	5860	5758	5.95
774	5528	5892	5794	6.07
780	5564	5929	5831	6.19
786	5601	5967	5869	6.31
792	5641	6022	5907	6.48
798	5685	6076	5946	6.71
804	5732	6135	5987	7.01
810	5783	6192	6030	7.36
816	5835	6255	6075	7.78
822	5892	6325	6123	8.26
828	5951	6398	6174	8.8
834	6016	6472	6228	9.41
840	6076	6550	6286	10.07
846	6148	6633	6349	10.8
852	6224	6717	6415	11.58
858	6304	6803	6487	12.43
864	6390	6894	6564	13.35
870	6485	6989	6646	14.32
876	6585	7085	6735	15.35
882	6680	7186	6830	16.45
888	6782	7293	6931	17.59
894	6882	7403	7040	18.69
900	6989	7516	7154	19.71
906	7100	7633	7275	20.68
912	7205	7752	7401	21.58
918	7311	7875	7533	22.41
924	7417	8000	7669	23.19
930	7519	8125	7810	23.89
936	7635	8253	7955	24.53
942	7744	8384	8104	25.11
948	7844	8517	8256	25.63
954	7958	8649	8411	26.08
960	8078	8782	8568	26.46
966	8199	8918	8728	26.78
972	8322	9054	8889	27.04
978	8446	9190	9052	27.23
984	8572	9340	9216	27.35
990	8699	9491	9380	27.42
996	8827	9655	9544	NA
