depth	min95%	max95%	best	acc.rate
157	-47	268	83	8.56
163	8	315	135	8.56
169	63	362	186	8.56
175	117	409	237	8.56
181	171	457	289	8.56
187	226	505	340	8.56
193	280	553	391	8.56
199	335	600	443	8.56
205	389	647	494	8.56
211	444	695	545	8.56
217	499	742	597	8.56
223	553	789	648	8.56
229	607	837	699	8.56
235	661	884	751	8.56
241	715	933	802	8.56
247	770	982	853	8.56
253	824	1031	905	8.56
259	878	1079	956	8.56
265	931	1128	1007	8.56
271	984	1176	1059	8.56
277	1037	1224	1110	8.56
283	1091	1272	1161	8.56
289	1144	1320	1213	8.56
295	1197	1368	1264	8.56
301	1250	1417	1315	8.56
307	1303	1466	1367	8.56
313	1355	1513	1418	8.56
319	1408	1562	1469	8.56
325	1461	1609	1521	8.56
331	1514	1659	1572	8.56
337	1566	1708	1623	8.56
343	1619	1756	1675	8.56
349	1671	1804	1726	8.56
355	1724	1853	1777	8.56
361	1777	1902	1829	8.56
367	1829	1950	1880	8.56
373	1882	1999	1931	8.56
379	1935	2048	1983	8.56
385	1987	2098	2034	8.56
391	2039	2148	2085	8.56
397	2091	2198	2137	8.56
403	2143	2248	2188	8.56
409	2196	2299	2239	8.56
415	2248	2350	2291	8.56
421	2301	2400	2342	8.56
427	2353	2450	2393	8.56
433	2406	2502	2445	8.56
439	2458	2553	2496	8.56
445	2510	2604	2547	8.56
451	2562	2656	2599	8.56
457	2614	2707	2650	8.56
463	2666	2760	2701	8.56
469	2717	2813	2753	8.56
475	2802	2897	2837	21.87
481	2932	3027	2969	21.87
487	3058	3154	3100	21.87
493	3183	3284	3231	21.87
499	3306	3414	3362	21.87
505	3428	3543	3493	21.87
511	3551	3675	3625	21.87
517	3673	3807	3756	21.87
523	3795	3939	3887	21.87
529	3918	4071	4018	21.87
535	4041	4204	4149	21.87
541	4163	4339	4281	21.87
547	4284	4477	4412	21.87
553	4406	4615	4543	21.87
559	4529	4753	4674	21.87
565	4650	4892	4805	12.4
571	4684	4914	4832	2.93
577	4709	4926	4850	2.93
583	4736	4939	4868	2.93
589	4758	4952	4885	2.93
595	4783	4969	4903	2.93
601	4806	4989	4920	2.93
607	4827	5011	4938	2.93
613	4847	5030	4955	2.93
619	4869	5052	4973	2.93
625	4886	5074	4990	2.93
631	4902	5096	5008	2.93
637	4919	5118	5025	2.93
643	4936	5140	5043	2.93
649	4947	5162	5061	2.93
655	4956	5185	5078	2.93
661	4965	5208	5096	2.93
667	4973	5230	5113	2.93
673	4981	5254	5131	2.93
679	4992	5277	5148	2.93
685	5014	5304	5173	7.74
691	5069	5342	5220	7.74
696	5114	5376	5258	7.74
702	5172	5417	5305	7.74
708	5228	5458	5351	7.74
714	5285	5499	5398	7.74
720	5334	5542	5444	7.74
726	5383	5585	5491	7.74
732	5433	5628	5537	7.74
738	5474	5670	5584	7.74
744	5515	5721	5630	7.74
750	5556	5773	5676	7.74
756	5597	5829	5723	7.74
762	5636	5888	5769	7.74
768	5675	5943	5816	7.74
774	5715	5998	5862	7.74
780	5751	6053	5909	7.74
786	5796	6101	5954	7.28
792	5848	6137	5998	7.28
798	5902	6170	6041	7.28
804	5952	6205	6085	7.28
810	6005	6240	6129	7.28
816	6057	6275	6172	7.28
822	6109	6309	6216	7.28
828	6162	6343	6260	7.28
834	6209	6381	6304	7.28
840	6256	6421	6347	7.28
846	6297	6467	6391	7.28
852	6339	6510	6435	7.28
858	6378	6555	6478	7.28
864	6414	6599	6522	7.28
870	6456	6646	6566	7.28
876	6495	6694	6609	7.28
882	6532	6743	6653	7.28
888	6622	6836	6746	27.07
894	6789	6994	6909	27.07
900	6956	7154	7071	27.07
906	7128	7312	7234	27.07
912	7296	7472	7396	27.07
918	7464	7634	7558	27.07
924	7632	7795	7721	27.07
930	7800	7957	7883	27.07
936	7966	8119	8046	27.07
942	8132	8283	8208	27.07
948	8298	8449	8371	27.07
954	8463	8612	8533	27.07
960	8625	8779	8696	27.07
966	8788	8947	8858	27.07
972	8952	9113	9020	27.07
978	9114	9282	9183	27.07
984	9277	9452	9345	27.07
990	9437	9620	9508	27.07
996	9583	9774	9657	NA
