"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
157	0	1	1	1	3
163	0	1	1	1	3
169	0	1	1	1	3
175	0	1	1	1	3
181	0	1	1	1	3
187	0	1	1	1	3
193	0	1	1	1	3
199	0	1	1	1	3
205	0	1	1	1	3
211	0	1	1	1	3
217	0	1	1	1	3
223	0	1	1	1	3
229	0	1	1	1	3
235	0	1	1	1	3
241	0	1	1	1	3
247	0	1	1	1	3
253	0	1	1	1	3
259	0	1	1	1	3
265	0	1	1	1	3
271	0	1	1	1	3
277	0	1	1	1	3
283	1	1	1	1	4
289	1	1	1	1	4
295	1	1	1	1	4
301	1	1	1	1	4
307	1	1	1	1	4
313	1	1	1	1	4
319	1	1	1	1	4
325	1	1	1	0	3
331	1	1	1	0	3
337	1	1	1	0	3
343	1	1	1	0	3
349	1	1	1	0	3
355	1	1	1	0	3
361	1	1	1	0	3
367	1	1	1	0	3
373	1	1	1	0	3
379	1	1	0	0	2
385	1	1	0	0	2
391	1	1	0	0	2
397	1	1	0	0	2
403	1	1	1	1	4
409	1	1	1	1	4
415	1	1	1	1	4
421	1	1	1	1	4
427	1	1	1	1	4
433	1	1	1	1	4
439	1	1	1	1	4
445	1	1	1	1	4
451	1	1	1	1	4
457	1	1	1	1	4
463	1	1	1	1	4
469	1	1	1	1	4
475	1	1	1	1	4
481	1	1	1	1	4
487	1	1	1	1	4
493	1	1	1	1	4
499	1	1	1	1	4
505	1	1	1	1	4
511	1	1	1	1	4
517	1	1	1	1	4
523	1	1	1	1	4
529	1	1	1	1	4
535	1	1	1	1	4
541	1	1	1	1	4
547	1	1	1	1	4
553	1	1	1	1	4
559	1	1	1	1	4
565	1	1	1	1	4
571	1	1	1	1	4
577	1	1	1	1	4
583	1	1	1	1	4
589	1	1	1	1	4
595	1	1	1	1	4
601	1	1	1	1	4
607	1	1	1	1	4
613	1	1	1	1	4
619	1	1	1	1	4
625	1	1	1	1	4
631	1	1	1	1	4
637	1	1	1	1	4
643	1	1	1	1	4
649	1	1	1	1	4
655	1	1	1	1	4
661	1	1	1	1	4
667	1	1	1	1	4
673	1	1	1	1	4
679	1	1	1	1	4
685	1	1	1	1	4
691	1	1	1	1	4
696	1	1	1	1	4
702	1	1	1	1	4
708	1	1	1	1	4
714	1	1	1	1	4
720	1	1	1	1	4
726	1	1	1	1	4
732	1	1	1	1	4
738	1	1	1	1	4
744	1	1	1	1	4
750	1	1	1	1	4
756	1	1	1	1	4
762	1	1	1	1	4
768	1	1	1	1	4
774	1	1	1	1	4
780	1	1	1	1	4
786	1	1	1	1	4
792	1	1	1	1	4
798	1	1	1	1	4
804	1	1	1	1	4
810	1	1	1	1	4
816	1	1	1	1	4
822	1	1	1	1	4
828	1	1	1	1	4
834	1	1	1	1	4
840	1	1	1	1	4
846	1	1	1	1	4
852	1	1	1	1	4
858	1	1	1	1	4
864	1	1	1	1	4
870	1	1	1	1	4
876	1	1	1	1	4
882	1	1	1	1	4
888	0	1	1	1	3
894	0	1	1	1	3
900	0	1	1	1	3
906	0	1	1	1	3
912	0	1	1	1	3
918	0	1	1	0	2
924	0	1	1	0	2
930	0	1	1	1	3
936	0	1	1	1	3
942	0	1	1	1	3
948	0	1	1	1	3
954	0	1	1	1	3
960	0	1	1	1	3
966	0	1	1	1	3
972	0	1	1	1	3
978	0	1	1	1	3
984	0	1	1	1	3
990	0	1	1	1	3
996	0	1	1	1	3
