depth	min95%	max95%	best	acc.rate
0	-1549	-1268	-1438	39.6
10	-1135	-891	-1042	39.6
20	-722	-514	-646	39.6
30	-305	-138	-250	39.6
40	108	241	146	39.6
50	514	621	542	39.6
60	909	1008	938	39.6
70	1296	1397	1334	39.6
80	1681	1791	1730	39.6
90	2063	2198	2126	39.6
100	2442	2616	2522	39.6
110	2823	3031	2918	44.15
120	3288	3435	3360	44.15
130	3705	3903	3801	77.51
140	4497	4655	4576	77.51
150	5275	5418	5351	77.51
160	6040	6190	6126	77.51
170	6690	6840	6771	34.1
180	6929	7169	7060	7.89
190	7040	7231	7139	7.89
200	7141	7294	7218	7.89
210	7226	7366	7297	7.89
220	7288	7461	7376	7.89
230	7328	7574	7455	7.89
240	7366	7690	7534	NA
