depth	min95%	max95%	best	acc.rate
480	11325	12260	11880	9.15
490	11456	12325	11972	9.15
500	11584	12391	12063	9.15
510	11711	12455	12155	9.15
520	11837	12525	12246	9.15
530	11956	12595	12338	9.15
540	12075	12669	12429	9.15
550	12194	12747	12521	9.15
560	12308	12828	12612	9.15
570	12417	12913	12704	9.15
580	12528	13004	12795	9.15
590	12630	13095	12887	9.15
600	12730	13189	12978	9.15
610	12835	13290	13070	9.15
620	12927	13391	13161	9.15
630	13019	13496	13253	9.15
640	13108	13599	13344	9.15
650	13190	13712	13436	9.15
660	13274	13822	13527	9.15
670	13351	13938	13619	9.15
680	13422	14050	13710	9.15
690	13490	14162	13802	9.15
700	13562	14275	13893	9.15
710	13629	14386	13985	9.15
720	13693	14507	14076	NA
