depth	min95%	max95%	best	acc.rate
85	417	689	554	7.53
90	463	719	592	7.53
95	508	749	630	7.53
100	553	781	667	7.53
105	598	810	705	7.53
110	644	840	743	7.53
115	689	872	780	7.53
120	734	904	818	7.53
125	778	937	855	7.53
130	820	969	893	7.53
135	864	1000	931	7.53
140	906	1032	968	7.53
145	945	1067	1006	7.53
150	986	1102	1044	7.53
155	1024	1139	1081	7.53
160	1063	1179	1119	7.53
165	1100	1218	1157	7.53
170	1139	1262	1194	7.53
175	1177	1308	1232	7.53
180	1213	1352	1270	7.53
185	1248	1400	1307	7.53
190	1282	1443	1345	7.53
195	1315	1489	1383	9.14
200	1369	1515	1428	9.14
205	1401	1558	1474	9.14
210	1424	1617	1520	9.14
215	1440	1690	1565	14.49
220	1535	1739	1638	14.49
225	1627	1793	1710	14.49
230	1713	1855	1783	14.49
235	1784	1919	1855	14.49
240	1842	2000	1928	5.77
245	1889	2020	1957	5.77
250	1914	2061	1985	5.77
255	1930	2119	2014	46.86
260	2121	2348	2249	46.86
265	2230	2717	2483	46.86
270	2324	3107	2717	46.86
275	2403	3483	2952	46.86
280	2470	3867	3186	46.86
285	2549	4252	3420	46.86
290	2628	4635	3655	NA
