"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
85	0	1	1	1	3
90	0	1	1	1	3
95	0	1	1	1	3
100	0	1	1	1	3
105	0	1	1	1	3
110	0	1	1	1	3
115	0	1	1	1	3
120	0	1	1	1	3
125	0	1	1	1	3
130	1	1	1	1	4
135	1	1	1	1	4
140	1	1	1	1	4
145	1	1	1	1	4
150	1	1	1	1	4
155	1	1	1	1	4
160	1	1	1	1	4
165	1	1	1	1	4
170	1	1	1	1	4
175	1	1	1	1	4
180	1	1	1	1	4
185	1	1	1	1	4
190	1	1	1	1	4
195	1	1	1	1	4
200	1	1	1	1	4
205	1	1	1	1	4
210	1	1	1	1	4
215	1	1	1	1	4
220	1	1	1	1	4
225	1	1	1	1	4
230	1	1	1	1	4
235	1	1	1	1	4
240	1	1	1	1	4
245	1	1	1	1	4
250	1	1	1	1	4
255	1	1	1	1	4
260	1	1	1	1	4
265	0	1	1	1	3
270	0	1	1	1	3
275	0	1	1	1	3
280	0	1	1	1	3
285	0	1	1	1	3
290	0	1	1	1	3
