depth	min95%	max95%	best	acc.rate
0	-4652	-2196	-3568	54.89
10	-3977	-1811	-3019	54.89
20	-3302	-1426	-2470	54.89
30	-2628	-1042	-1922	54.89
40	-1954	-658	-1373	54.89
50	-1278	-270	-824	54.89
60	-603	119	-275	54.89
70	73	504	274	54.89
80	744	908	823	54.89
90	1272	1431	1372	54.89
100	1661	2102	1921	5145.02
110	7022	7277	7174	12.01
120	7164	7383	7294	12.01
130	7299	7497	7414	12.01
140	7428	7617	7534	12.01
150	7549	7741	7654	12.01
160	7652	7875	7774	12.01
170	7750	8016	7894	12.01
180	7841	8163	8014	NA
