depth	min95%	max95%	best	acc.rate
10	-1040	-752	-899	26.21
20	-770	-498	-637	26.21
30	-501	-244	-375	26.21
40	-231	10	-113	26.21
50	38	265	149	26.21
60	307	520	411	26.21
70	575	776	674	26.21
80	842	1032	936	26.21
90	1110	1292	1198	26.21
100	1374	1551	1460	26.21
110	1641	1811	1722	26.21
120	1906	2072	1984	26.21
130	2170	2334	2246	26.21
140	2431	2597	2508	26.21
150	2692	2859	2770	26.21
160	2954	3122	3032	26.21
170	3216	3386	3295	26.21
180	3477	3651	3557	26.21
190	3738	3915	3819	26.21
200	3999	4180	4081	26.21
210	4258	4445	4343	26.21
220	4518	4709	4605	26.21
230	4777	4974	4867	26.21
240	5036	5239	5129	26.21
260	5553	5772	5653	26.21
270	5809	6038	5916	26.21
280	6065	6307	6178	26.21
290	6322	6575	6440	NA
