"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	1	1	1	1	4
1	1	1	1	1	4
3	1	1	1	1	4
5	1	1	1	1	4
7	1	1	1	1	4
9	1	1	1	1	4
11	1	1	1	1	4
13	1	1	1	1	4
15	1	1	1	1	4
17	1	1	1	1	4
19	1	1	1	1	4
21	1	1	1	1	4
23	1	1	1	1	4
25	1	1	1	1	4
27	1	1	1	1	4
29	1	1	1	1	4
31	1	1	1	1	4
33	1	1	1	1	4
35	1	1	1	1	4
37	1	1	1	1	4
39	1	1	1	1	4
41	1	1	1	1	4
43	1	1	1	1	4
45	1	1	1	1	4
47	1	1	1	1	4
49	1	1	1	1	4
51	1	1	1	1	4
53	1	1	1	1	4
55	1	1	1	1	4
57	1	1	1	1	4
59	1	1	1	1	4
61	1	1	1	1	4
63	1	1	1	1	4
65	1	1	1	1	4
67	1	1	1	1	4
69	1	1	1	1	4
71	1	1	1	1	4
73	1	1	1	1	4
75	1	1	1	1	4
77	1	1	1	1	4
79	1	1	1	1	4
81	1	1	1	1	4
83	1	1	1	1	4
85	1	1	1	1	4
87	1	1	1	1	4
89	1	1	1	1	4
91	1	1	1	1	4
93	1	1	1	1	4
95	1	1	1	1	4
97	1	1	1	1	4
99	1	1	1	1	4
101	1	1	1	1	4
103	1	1	1	1	4
105	1	1	1	1	4
107	1	1	1	1	4
109	1	1	1	1	4
111	1	1	1	1	4
113	1	1	1	1	4
115	1	1	1	1	4
117	1	1	1	1	4
119	1	1	1	1	4
121	1	1	1	1	4
123	1	1	1	1	4
125	1	1	1	1	4
127	1	1	1	1	4
129	1	1	1	1	4
131	1	1	1	1	4
133	1	1	1	1	4
135	1	1	1	1	4
137	1	1	1	1	4
139	1	1	1	1	4
141	1	1	1	1	4
143	1	1	1	1	4
145	1	1	1	1	4
147	1	1	1	1	4
149	1	1	1	1	4
151	1	1	1	1	4
153	1	1	1	1	4
155	1	1	1	1	4
157	1	1	1	1	4
159	1	1	1	1	4
161	1	1	1	1	4
163	1	1	1	1	4
165	1	1	1	1	4
167	1	1	1	1	4
169	1	1	1	1	4
171	1	1	1	1	4
173	1	1	1	1	4
175	1	1	1	1	4
177	0	1	1	1	3
179	0	1	1	1	3
181	0	1	1	1	3
183	0	1	1	1	3
185	0	1	1	1	3
187	0	1	1	1	3
189	0	1	1	1	3
191	0	1	1	1	3
193	0	1	1	1	3
195	0	1	1	1	3
197	0	1	1	1	3
199	0	1	1	0	2
