"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	1	1	1	1	4
10	1	1	1	1	4
15	1	1	1	1	4
20	1	1	1	1	4
25	1	1	1	1	4
30	1	1	1	1	4
35	1	1	1	1	4
40	1	1	1	1	4
45	1	1	1	1	4
50	1	1	1	1	4
55	1	1	1	1	4
60	1	1	1	0	3
65	1	1	1	0	3
70	1	1	0	0	2
75	1	1	0	0	2
80	1	1	1	1	4
85	1	1	1	1	4
90	1	1	1	1	4
95	1	1	1	1	4
100	1	1	1	1	4
105	1	1	1	1	4
110	1	1	1	0	3
115	1	1	0	0	2
120	1	1	0	0	2
125	1	1	0	0	2
130	1	1	0	0	2
135	1	1	0	0	2
140	1	1	0	0	2
145	1	1	1	1	4
150	1	1	1	1	4
155	1	1	1	1	4
160	1	1	1	1	4
165	1	1	1	1	4
170	1	1	1	1	4
175	1	1	1	1	4
180	1	1	1	1	4
185	1	1	1	1	4
190	1	1	1	1	4
195	1	1	1	1	4
200	1	1	1	1	4
205	1	1	1	1	4
210	1	1	1	1	4
215	0	1	1	1	3
219	0	1	1	1	3
