depth	min95%	max95%	best	acc.rate
0	-100	103	0	18.67
10	105	269	186	18.67
15	206	357	280	18.67
20	303	445	373	18.67
25	399	534	467	18.67
30	490	627	560	18.67
35	580	722	653	18.67
40	669	819	747	18.67
45	757	917	840	18.67
50	928	1089	1012	50.13
55	1184	1336	1263	50.13
60	1438	1582	1513	50.13
65	1690	1831	1764	50.13
70	1936	2081	2015	50.13
75	2185	2329	2265	50.13
80	2428	2583	2516	50.13
85	2669	2832	2766	50.13
90	2911	3089	3017	50.13
95	3152	3344	3268	50.13
100	3415	3608	3533	56.07
105	3705	3885	3814	56.07
110	3991	4164	4094	56.07
115	4278	4446	4374	56.07
120	4562	4728	4655	56.07
125	4845	5010	4935	56.07
130	5126	5294	5215	56.07
135	5404	5580	5496	56.07
140	5681	5866	5776	56.07
145	5955	6151	6057	56.07
150	6228	6437	6337	56.07
155	6500	6723	6617	56.07
160	6769	7011	6898	56.07
165	6964	7204	7091	21.2
170	7080	7301	7197	21.2
175	7198	7402	7303	21.2
180	7316	7501	7409	21.2
185	7427	7601	7515	21.2
190	7539	7703	7621	21.2
195	7649	7804	7727	21.2
200	7756	7908	7833	21.2
205	7860	8011	7939	21.2
210	7963	8117	8045	21.2
215	8045	8220	8140	21.2
219	8122	8316	8225	NA
