depth	min95%	max95%	best	acc.rate
0	-570	-33	-176	22.47
10	-274	201	51	23.11
15	-116	339	168	23.87
20	44	476	289	24.93
25	204	617	417	26.28
30	369	763	551	27.93
35	542	914	695	29.88
40	708	1070	848	32.11
45	874	1235	1014	34.65
50	1050	1401	1193	37.39
55	1244	1582	1385	39.95
60	1454	1774	1589	42.31
65	1670	1975	1805	44.46
70	1904	2182	2032	46.39
75	2149	2396	2267	48.12
80	2395	2622	2511	49.63
85	2660	2866	2762	50.94
90	2923	3111	3019	52.03
95	3177	3363	3281	52.91
100	3432	3634	3546	53.57
105	3684	3915	3815	53.97
110	3938	4201	4086	54.12
115	4185	4487	4356	54
120	4434	4772	4625	53.61
125	4672	5059	4892	52.97
130	4911	5348	5155	52.06
135	5146	5628	5413	50.89
140	5378	5888	5665	49.46
145	5606	6143	5909	47.77
150	5826	6387	6144	45.82
155	6042	6614	6369	43.6
160	6251	6824	6582	41.12
165	6454	7029	6782	38.48
170	6652	7206	6970	36.07
175	6842	7376	7146	33.92
180	7026	7536	7312	32.05
185	7206	7670	7468	30.45
190	7377	7797	7618	29.13
195	7553	7952	7761	28.07
200	7716	8119	7900	27.29
205	7883	8285	8035	26.78
210	8041	8448	8169	26.54
215	8166	8616	8301	26.52
219	8249	8742	8407	NA
