depth	min95%	max95%	best	acc.rate
5	0	173	86	16.68
10	90	252	170	16.68
15	178	328	253	16.68
20	264	411	336	16.68
25	352	500	420	16.68
30	437	592	503	16.68
35	520	687	587	16.68
40	601	780	670	16.68
45	679	875	753	16.68
50	718	915	793	5.73
55	749	940	822	5.73
60	780	966	850	5.73
65	811	989	879	5.73
70	842	1014	907	5.73
75	872	1040	936	5.73
80	902	1065	965	5.73
85	932	1090	993	5.73
90	962	1116	1022	5.73
95	991	1144	1051	5.73
100	1021	1169	1079	5.73
105	1050	1196	1108	5.73
110	1079	1223	1136	5.73
115	1108	1249	1165	5.73
120	1138	1277	1194	5.73
125	1167	1304	1222	5.73
130	1196	1331	1251	5.73
135	1225	1357	1280	5.73
140	1254	1384	1308	5.73
145	1282	1411	1337	5.73
150	1311	1438	1365	5.73
155	1339	1467	1394	5.73
160	1367	1494	1423	5.73
165	1394	1522	1451	5.73
170	1421	1551	1480	5.73
175	1448	1580	1509	5.73
180	1475	1611	1537	5.73
185	1502	1641	1566	5.73
190	1529	1672	1594	5.73
195	1555	1703	1623	NA
