depth	min95%	max95%	best	acc.rate
262	7292	7416	7361	41.22
278	7945	8086	8021	41.22
283	8140	8296	8227	41.22
288	8337	8507	8433	41.22
293	8531	8719	8639	41.22
298	8724	8931	8845	41.22
303	8915	9144	9051	41.22
308	9109	9358	9257	41.22
313	9302	9575	9463	41.22
318	9493	9793	9669	41.22
323	9685	10011	9875	41.22
326	9797	10142	9999	40.99
329	9934	10251	10122	40.99
332	10069	10364	10245	40.99
336	10249	10521	10409	40.99
341	10471	10721	10614	40.99
346	10692	10924	10819	40.99
351	10905	11128	11024	40.99
356	11118	11335	11229	40.99
361	11323	11546	11434	40.99
366	11527	11761	11639	40.99
371	11725	11976	11843	40.99
376	11898	12130	12007	30.59
381	12062	12264	12160	30.59
386	12222	12409	12313	30.59
391	12378	12559	12466	30.59
394	12469	12653	12558	30.59
396	12529	12713	12619	30.59
398	12586	12777	12680	30.59
402	12703	12907	12802	30.59
407	12860	13073	12965	39.92
412	13080	13252	13164	39.92
416	13246	13399	13324	39.92
421	13438	13600	13523	39.92
446	14166	15011	14563	NA
