depth	min95%	max95%	best	acc.rate
262	7296	7417	7363	41.78
278	7949	8103	8031	41.73
283	8148	8319	8240	41.7
288	8348	8533	8448	41.66
293	8548	8746	8656	41.61
298	8748	8959	8864	41.55
303	8949	9172	9072	41.49
308	9152	9383	9279	41.41
313	9356	9593	9486	41.33
318	9562	9799	9693	41.24
323	9770	10006	9899	41.14
326	9895	10129	10022	41.08
329	10021	10252	10145	40.99
332	10144	10375	10268	40.86
336	10308	10537	10431	40.63
341	10512	10737	10633	40.24
346	10711	10932	10834	39.75
351	10913	11126	11031	39.16
356	11112	11316	11226	38.46
361	11306	11501	11416	37.65
366	11496	11684	11603	36.74
371	11679	11864	11785	35.72
376	11856	12039	11961	34.76
381	12029	12213	12134	34.09
386	12205	12383	12303	33.73
391	12379	12555	12472	33.67
394	12484	12658	12573	33.77
396	12554	12724	12640	33.9
398	12625	12790	12708	34.08
402	12770	12921	12845	34.59
407	12954	13097	13020	35.46
412	13135	13271	13199	36.31
416	13278	13415	13345	36.89
421	13455	13603	13531	37.49
446	14281	14681	14488	NA
