depth	min95%	max95%	best	acc.rate
10	40	314	170	9.43
30	261	460	359	9.43
50	484	613	547	9.43
65	633	735	684	9.43
80	768	879	825	9.43
100	938	1074	1014	9.43
110	1021	1177	1108	9.43
125	1194	1351	1281	13.62
140	1409	1555	1485	13.62
155	1617	1767	1690	13.62
170	1807	1979	1894	13.62
185	2017	2214	2123	23.4
205	2511	2668	2591	23.4
225	2965	3136	3059	23.4
235	3190	3380	3293	23.4
250	3956	4125	4046	55.54
265	4799	4954	4879	55.54
285	5905	6073	5990	55.54
303	6877	7082	6989	55.54
315	7043	7222	7138	6.21
335	7190	7330	7262	6.21
342	7234	7373	7306	6.21
362	7330	7526	7430	6.21
381	7401	7478	7445	-0.04
389	7424	7478	7444	-0.04
392	7421	7483	7444	NA
