depth	min95%	max95%	best	acc.rate
3	1194	3007	2066	47.67
13	1800	3366	2533	47.67
23	2370	3734	3010	47.67
33	2927	4095	3486	47.67
43	3436	4495	3963	47.67
53	3902	4977	4440	47.67
63	4321	5462	4917	47.67
73	4738	6041	5393	37.93
83	5146	6212	5685	28.18
93	5490	6427	5967	28.18
103	5797	6703	6248	28.18
113	6029	7004	6530	28.18
123	6254	7340	6812	28.18
133	6614	7659	7146	36.15
143	7039	7966	7507	36.15
153	7423	8311	7869	36.15
163	7777	8704	8230	36.15
173	8083	9123	8592	36.15
183	8410	9575	8953	36.15
193	8675	10083	9315	36.15
197	8780	10246	9459	NA
