depth	min95%	max95%	best	acc.rate
0	-776	-707	-748	35.58
20	-41	-9	-36	35.58
30	301	349	319	35.58
40	640	711	675	35.58
60	1320	1438	1387	35.58
70	1660	1805	1742	35.58
80	1999	2173	2098	35.58
90	2339	2541	2454	35.58
100	2679	2910	2810	35.58
110	3019	3279	3165	35.58
120	3358	3647	3521	35.58
130	3698	4015	3877	35.58
140	4038	4383	4233	35.58
150	4377	4752	4589	35.58
160	4717	5120	4944	35.58
170	5056	5488	5300	35.58
180	5396	5857	5656	35.58
190	5735	6225	6012	35.58
200	6075	6594	6367	35.58
210	6415	6962	6723	NA
