depth	min95%	max95%	best	acc.rate
15	-95	102	5	40.73
20	136	286	209	40.73
25	358	490	412	40.73
30	567	731	616	40.73
35	833	1008	886	74.09
40	1189	1338	1257	74.09
45	1524	1734	1627	74.09
51	1829	2048	1935	46.78
55	2020	2235	2122	46.78
60	2250	2471	2356	46.78
65	2477	2712	2590	46.78
70	2704	2962	2824	46.78
75	2920	3206	3058	46.78
80	3142	3457	3292	46.78
85	3359	3708	3526	46.78
90	3578	3967	3760	46.78
94	3753	4176	3947	46.78
100	4013	4480	4227	46.78
107	4316	4828	4555	46.78
110	4446	4981	4695	43.77
113	4581	5110	4826	43.77
118	4802	5326	5045	43.77
122	4980	5499	5220	43.77
126.5	5180	5690	5417	43.77
131	5376	5881	5614	43.77
134	5508	6003	5746	43.77
139	5729	6222	5965	43.77
144	5951	6432	6183	43.77
149	6161	6653	6402	43.77
154	6372	6882	6621	43.77
158.5	6560	7082	6818	43.77
164	6791	7341	7059	43.77
168	6956	7530	7234	43.77
173	7165	7764	7453	43.77
178	7373	7998	7672	43.77
183	7581	8233	7891	43.77
186	7707	8372	8022	43.77
193	7998	8709	8328	43.77
198	8205	8949	8547	43.77
204	8459	9233	8810	43.77
209	8671	9470	9029	43.77
213	8831	9659	9204	43.77
217	8992	9849	9379	43.77
222	9198	10091	9598	43.77
229	9479	10431	9904	43.77
234	9679	10674	10123	43.77
239.5	9903	10936	10364	43.77
243	10047	11103	10517	43.77
248	10256	11343	10736	43.77
252	10421	11534	10911	43.77
257	10642	11765	11140	54.2
262	10959	11992	11411	54.2
265	11136	12122	11574	54.2
270	11438	12346	11845	54.2
274	11669	12540	12062	54.2
280	12015	12822	12387	54.2
284	12237	13031	12604	54.2
288	12455	13249	12820	54.2
292	12660	13470	13037	54.2
296	12865	13695	13254	54.2
300	13068	13925	13471	54.2
305	13310	14235	13742	54.2
310.5	13576	14574	14040	54.2
315.5	13811	14883	14311	54.2
318	13918	15042	14447	54.2
320.5	14034	15210	14582	54.2
324	14199	15430	14772	54.2
328	14378	15697	14989	54.2
332	14555	15959	15205	54.2
335	14695	16157	15368	NA
