depth	min95%	max95%	best	acc.rate
15	-244	27	-50	46.26
20	34	268	182	47.01
25	317	539	421	49.02
30	597	813	672	52.3
35	854	1093	942	56.37
40	1105	1373	1229	58.41
45	1365	1650	1521	57.96
51	1681	1983	1863	55.72
55	1892	2200	2084	54.31
60	2150	2474	2352	52.67
65	2411	2737	2612	51.15
70	2671	3002	2865	49.76
75	2922	3262	3111	48.49
80	3168	3517	3352	47.35
85	3411	3763	3586	46.33
90	3641	4005	3816	45.44
94	3819	4201	3997	44.82
100	4083	4482	4264	44.04
107	4367	4811	4570	43.35
110	4484	4951	4700	43.14
113	4605	5089	4829	42.94
118	4810	5320	5043	42.65
122	4973	5493	5213	42.45
126.5	5153	5693	5404	42.26
131	5332	5895	5594	42.09
134	5450	6023	5720	41.99
139	5648	6248	5930	41.87
144	5844	6463	6139	41.78
149	6044	6686	6348	41.74
154	6245	6907	6556	41.73
158.5	6421	7108	6744	41.76
164	6635	7363	6974	41.84
168	6796	7538	7141	41.93
173	6993	7772	7351	42.08
178	7193	8006	7562	42.26
183	7394	8235	7774	42.49
186	7517	8375	7901	42.64
193	7801	8704	8201	43.05
198	8015	8940	8417	43.4
204	8272	9221	8679	43.86
209	8485	9458	8899	44.29
213	8659	9644	9076	44.66
217	8839	9827	9256	45.06
222	9067	10056	9482	45.59
229	9392	10389	9804	46.4
234	9632	10615	10037	47.03
239.5	9903	10867	10297	47.73
243	10080	11035	10465	48.26
248	10334	11262	10708	49
252	10539	11450	10905	49.62
257	10800	11671	11154	50.42
262	11054	11907	11408	51.19
265	11204	12043	11562	51.61
270	11466	12271	11821	52.26
274	11682	12459	12031	52.74
280	12004	12763	12349	53.37
284	12211	12969	12563	53.73
288	12418	13178	12779	54.05
292	12625	13400	12995	54.33
296	12828	13626	13213	54.56
300	13027	13859	13431	54.75
305	13283	14161	13706	54.93
310.5	13558	14513	14008	55.04
315.5	13804	14811	14283	55.08
318	13922	14981	14421	55.08
320.5	14035	15145	14559	55.08
324	14192	15378	14751	55.08
328	14377	15641	14972	55.08
332	14542	15900	15192	55.08
335	14665	16102	15357	NA
