depth	min95%	max95%	best	acc.rate
10	-743	261	-208	48.74
20	-199	691	280	48.74
30	358	1119	767	48.74
40	907	1553	1255	48.74
45	1182	1769	1498	48.74
50	1456	1985	1742	48.74
60	1998	2422	2230	48.74
69	2447	2805	2644	48.74
75	2764	3090	2936	48.74
80	3025	3325	3180	48.74
85	3283	3570	3424	48.74
90	3528	3817	3668	48.74
97	3866	4169	4009	48.74
110	4468	4835	4642	48.74
115	4791	5169	4973	83.5
120	5214	5586	5391	83.5
125	5640	6002	5808	83.5
130	6062	6419	6226	83.5
135	6483	6834	6643	83.5
140	6897	7249	7061	83.5
145	7312	7669	7478	83.5
150	7723	8089	7896	83.5
155	8141	8516	8313	83.5
160	8554	8938	8731	83.5
165	8970	9363	9148	83.5
170	9378	9785	9566	83.5
185	10601	11071	10818	83.5
210	12625	13242	12906	83.5
215	13031	13680	13323	83.5
225	13840	14550	14158	83.5
235	14643	15429	14993	83.5
245	15445	16300	15828	83.5
255	16246	17168	16663	83.5
265	17042	18038	17498	83.5
275	17843	18910	18333	83.5
285	18643	19779	19168	83.5
295	19446	20649	20003	83.5
300	19849	21084	20421	NA
