depth	min95%	max95%	best	acc.rate
10	287	610	525	31.52
20	639	940	843	32.31
30	1011	1278	1172	33.61
40	1376	1631	1516	35.41
45	1563	1815	1695	36.51
50	1744	2006	1880	37.73
60	2128	2414	2269	40.56
69	2502	2805	2646	43.53
75	2767	3088	2913	45.71
80	2998	3330	3145	47.64
85	3239	3584	3387	49.66
90	3492	3851	3640	51.78
97	3865	4243	4011	54.9
110	4615	5030	4762	61.22
115	4924	5351	5074	63.78
120	5236	5683	5397	66.24
125	5562	6026	5733	68.57
130	5886	6382	6081	70.77
135	6222	6745	6439	72.84
140	6563	7117	6807	74.79
145	6902	7492	7184	76.61
150	7231	7882	7571	78.31
155	7586	8279	7966	79.88
160	7945	8676	8368	81.32
165	8306	9082	8777	82.63
170	8668	9481	9193	83.82
185	9778	10742	10471	86.62
210	11676	12920	12669	88.75
215	12059	13367	13113	88.8
225	12825	14278	14001	88.8
235	13592	15202	14889	88.8
245	14358	16127	15777	88.8
255	15127	17055	16665	88.8
265	15903	17983	17553	88.8
275	16679	18910	18441	88.8
285	17455	19843	19329	88.8
295	18231	20776	20217	88.8
300	18619	21240	20661	NA
