depth	min95%	max95%	best	acc.rate
0	-114	405	201	3.61
5	-90	417	219	3.61
15	-43	445	255	3.61
25	6	473	291	3.61
35	55	501	327	3.61
45	103	527	363	3.61
55	153	558	399	3.61
65	201	588	435	3.61
75	250	617	472	3.61
85	297	649	508	3.61
95	344	681	544	3.61
105	391	715	580	3.61
115	435	748	616	3.61
125	481	783	652	3.61
135	523	819	688	3.61
145	566	852	724	3.61
155	605	887	760	3.61
165	647	922	796	3.61
175	684	957	833	3.61
185	721	994	869	3.61
195	759	1031	905	3.61
205	794	1069	941	3.61
215	827	1106	977	3.61
225	863	1143	1013	3.61
235	899	1183	1049	3.61
245	934	1220	1085	3.61
255	965	1260	1121	3.61
265	996	1302	1158	3.61
275	1026	1345	1194	3.61
285	1053	1391	1230	3.61
290	1067	1414	1248	NA
