depth	min95%	max95%	best	acc.rate
5	9853	10203	10014	22.02
10	9962	10307	10124	22.02
20	10182	10521	10344	21.96
50	10814	11178	10997	21.48
100	11797	12240	12032	19.63
130	12348	12811	12596	17.88
150	12687	13154	12941	16.45
180	13169	13599	13398	13.9
210	13565	13961	13773	10.88
220	13663	14075	13877	9.84
230	13758	14180	13971	8.89
240	13842	14273	14056	8.01
260	13979	14442	14201	6.5
270	14037	14506	14263	5.87
280	14077	14563	14319	5.32
285	14096	14590	14345	5.08
290	14112	14615	14370	4.86
295	14132	14642	14394	4.66
300	14153	14670	14417	4.48
305	14172	14691	14439	4.33
330	14254	14808	14541	3.87
340	14275	14856	14579	3.83
350	14289	14906	14618	3.89
370	14357	14992	14696	3.83
380	14389	15034	14734	3.7
400	14453	15107	14805	3.47
410	14487	15150	14840	3.38
440	14579	15254	14938	3.18
470	14628	15376	15031	3.09
480	14648	15428	15062	NA
