"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
5	0	0	0	0	0
10	0	0	0	0	0
15	0	0	0	0	0
20	0	0	0	0	0
25	0	0	0	0	0
30	0	0	0	0	0
35	0	0	0	0	0
40	0	0	0	0	0
45	0	0	0	0	0
50	0	1	0	0	1
55	0	1	0	0	1
60	0	1	0	0	1
65	0	1	0	0	1
70	0	1	0	0	1
75	0	1	0	0	1
80	0	1	0	0	1
85	0	1	0	0	1
90	0	1	1	1	3
95	0	1	1	1	3
100	0	1	1	1	3
105	0	1	1	1	3
110	0	1	1	1	3
115	0	1	1	1	3
120	0	1	1	1	3
125	0	1	1	1	3
130	0	1	1	1	3
135	0	1	1	1	3
140	0	1	1	1	3
145	0	1	1	1	3
150	0	1	1	0	2
155	0	1	1	0	2
160	0	1	1	0	2
165	0	1	0	0	1
170	0	1	0	0	1
175	0	1	0	0	1
180	0	1	0	0	1
185	0	1	0	0	1
190	0	1	0	0	1
195	0	1	0	0	1
200	0	1	0	0	1
205	0	1	0	0	1
210	0	1	1	1	3
215	0	1	1	1	3
220	0	1	1	1	3
225	0	1	1	1	3
230	0	1	1	1	3
235	0	1	1	1	3
240	0	1	1	1	3
245	0	1	1	1	3
250	0	1	1	1	3
