depth	min95%	max95%	best	acc.rate
0	-62	-7	-28	1.49
20	128	140	133	27.62
30	394	431	409	27.62
40	661	721	685	27.62
50	927	1012	961	27.62
60	1194	1303	1238	27.62
70	1461	1594	1514	27.62
80	1727	1885	1790	27.62
90	1994	2175	2066	27.62
100	2260	2466	2343	27.62
110	2527	2757	2619	27.62
120	2793	3048	2895	27.62
130	3060	3339	3171	27.62
140	3326	3629	3447	27.62
150	3593	3920	3724	27.62
160	3859	4211	4000	27.62
170	4126	4502	4276	27.62
180	4392	4793	4552	27.62
190	4659	5084	4829	27.62
200	4926	5374	5105	NA
