depth	min95%	max95%	best	acc.rate
0	-51	139	47	6.85
2	-32	147	60	6.85
4	-18	154	74	6.85
6	-10	166	88	6.85
8	-6	180	102	6.85
10	-1	191	115	6.85
12	1	206	129	6.85
14	2	223	143	6.85
16	6	241	156	6.85
18	9	257	170	6.85
20	11	278	184	6.85
22	141	399	305	114.66
24	398	625	535	114.66
26	654	855	764	114.66
28	896	1087	993	114.66
30	1133	1323	1223	114.66
32	1352	1561	1452	114.66
34	1570	1805	1681	75.8
36	1729	1945	1833	75.8
38	1884	2090	1984	75.8
40	2038	2235	2136	75.8
42	2188	2385	2288	75.8
44	2337	2539	2439	75.8
46	2484	2695	2591	75.8
48	2630	2850	2742	75.8
50	2768	3006	2894	75.8
52	2910	3162	3046	75.8
54	3053	3322	3197	75.8
56	3192	3487	3349	75.8
58	3331	3653	3500	75.8
60	3469	3819	3652	75.8
62	3605	3986	3803	75.8
64	3741	4154	3955	75.8
66	3874	4323	4107	75.8
68	4010	4494	4258	75.8
70	4144	4663	4410	75.8
72	4280	4831	4561	75.8
74	4414	4999	4713	75.8
76	4550	5168	4865	75.8
78	4685	5337	5016	75.8
80	4820	5507	5168	75.8
82	4956	5676	5319	75.8
84	5091	5845	5471	75.8
86	5226	6014	5623	75.8
88	5360	6183	5774	75.8
90	5495	6351	5926	NA
