depth	min95%	max95%	best	acc.rate
0	-505	65	-55	-0.11
2	-465	64	-55	0.72
4	-424	73	-53	2.69
6	-379	83	-46	5.8
8	-319	104	-32	10.04
10	-240	134	-10	15.42
12	-170	173	24	21.94
14	-112	223	72	29.59
16	-32	294	135	38.38
18	45	380	217	48.31
20	142	487	319	59.38
22	265	615	443	70.62
24	408	760	590	79.82
26	566	923	753	86.83
28	742	1102	929	91.67
30	920	1285	1114	94.32
32	1095	1470	1303	94.8
34	1266	1651	1492	93.19
36	1438	1838	1678	91.09
38	1620	2018	1859	89.18
40	1805	2192	2036	87.47
42	1996	2359	2211	85.96
44	2174	2520	2382	84.64
46	2355	2688	2551	83.52
48	2533	2849	2717	82.6
50	2724	3018	2882	81.87
52	2906	3188	3045	81.34
54	3081	3352	3208	81
56	3234	3534	3370	80.86
58	3383	3710	3531	80.86
60	3535	3896	3693	80.86
62	3688	4074	3855	80.86
64	3839	4256	4017	80.86
66	3977	4441	4178	80.86
68	4112	4627	4340	80.86
70	4247	4820	4502	80.86
72	4382	5010	4663	80.86
74	4517	5201	4825	80.86
76	4652	5392	4987	80.86
78	4785	5584	5149	80.86
80	4919	5782	5310	80.86
82	5053	5971	5472	80.86
84	5187	6160	5634	80.86
86	5321	6363	5795	80.86
88	5458	6557	5957	80.86
90	5595	6743	6119	NA
