depth	min95%	max95%	best	acc.rate
0	397	948	675	13.79
2	445	956	702	13.79
4	491	963	730	13.79
6	537	971	758	13.79
8	585	982	785	13.79
10	630	995	813	13.79
12	676	1006	840	13.79
14	719	1018	868	13.79
16	760	1033	895	13.79
18	801	1047	923	13.79
20	839	1063	951	13.79
22	875	1084	978	13.79
24	911	1104	1006	13.79
26	939	1124	1033	13.79
28	965	1149	1061	13.79
30	991	1172	1088	13.79
32	1014	1202	1116	13.79
34	1040	1237	1144	13.79
36	1062	1271	1171	13.79
38	1076	1309	1199	13.79
40	1087	1350	1226	13.79
42	1097	1392	1254	13.79
44	1106	1434	1282	13.79
46	1113	1478	1309	13.79
48	1120	1522	1337	13.79
50	1128	1568	1364	NA
