depth	min95%	max95%	best	acc.rate
0	-117	123	-14	6.08
4.5	-75	130	14	6.08
9	-33	138	41	6.08
16.5	38	149	87	6.08
19	61	153	102	6.08
26	124	166	144	6.08
31	165	184	175	6.08
35	181	215	199	6.08
40	190	259	230	6.08
42	193	278	242	6.08
46.5	201	319	269	6.08
50.5	207	356	293	6.08
52	209	370	303	6.08
53.5	212	384	312	6.08
54	212	388	315	6.08
58	218	426	339	6.08
59	220	435	345	6.08
60	221	444	351	6.08
61	223	453	357	6.08
62	224	463	363	6.08
63	226	472	370	33.72
64	264	501	403	33.72
65	302	531	437	33.72
66	341	561	471	33.72
67	380	590	504	33.72
68	419	621	538	33.72
69	458	653	572	33.72
70	497	683	606	33.72
71	536	715	639	33.72
72	574	745	673	33.72
73	612	777	707	33.72
74	651	808	740	33.72
75	687	839	774	33.72
76	726	871	808	33.72
77	765	902	842	33.72
78	801	934	875	33.72
79	834	965	909	33.72
80	873	999	943	33.72
81	912	1032	977	33.72
82	947	1065	1010	33.72
83	981	1100	1044	33.72
84	1019	1134	1078	33.72
85	1053	1168	1111	33.72
86	1087	1205	1145	33.72
87	1119	1239	1179	33.72
88	1150	1272	1213	33.72
89	1182	1308	1246	33.72
90	1215	1343	1280	33.72
91	1249	1377	1314	33.72
92.5	1300	1432	1364	NA
