depth	min95%	max95%	best	acc.rate
0	-100	102	1	5.9
10	-38	158	60	5.9
20	26	210	119	5.9
30	90	265	178	5.9
40	151	321	237	5.9
50	212	378	296	5.9
60	272	433	355	5.9
70	332	490	414	5.9
80	390	549	473	5.9
90	445	609	532	5.9
100	500	669	591	5.9
110	555	730	650	5.9
120	608	793	709	5.9
130	662	854	768	5.9
140	715	914	827	5.9
150	767	979	886	5.9
160	818	1042	945	5.9
170	870	1105	1003	5.9
180	920	1169	1062	5.9
190	973	1233	1121	5.9
200	1025	1297	1180	5.9
210	1076	1360	1239	5.9
220	1151	1431	1311	7.47
230	1230	1503	1386	7.47
240	1308	1576	1460	7.47
250	1387	1646	1535	7.47
260	1466	1717	1610	7.47
270	1545	1789	1685	7.47
280	1626	1860	1759	7.47
290	1704	1932	1834	7.47
300	1782	2006	1909	7.47
310	1861	2079	1983	7.47
320	1941	2152	2058	7.47
330	2021	2230	2133	7.47
340	2101	2305	2208	7.47
350	2177	2383	2282	7.47
360	2255	2457	2357	7.47
370	2331	2535	2432	7.47
380	2405	2612	2507	7.47
390	2479	2690	2581	7.47
400	2554	2769	2656	7.47
410	2630	2847	2731	7.47
420	2700	2926	2805	7.47
430	2774	3004	2880	7.47
440	2846	3082	2955	7.47
450	2917	3161	3030	7.47
460	2990	3240	3104	7.47
470	3060	3320	3179	7.47
480	3131	3399	3254	7.47
490	3203	3477	3329	7.47
500	3275	3555	3403	7.47
510	3348	3635	3478	7.47
520	3419	3714	3553	7.47
530	3492	3795	3627	7.47
540	3551	3848	3684	5.15
550	3604	3896	3735	5.15
560	3657	3943	3787	5.15
570	3715	3992	3838	5.15
580	3772	4040	3890	5.15
590	3825	4089	3941	5.15
600	3879	4137	3993	5.15
610	3931	4183	4044	5.15
620	3980	4232	4096	5.15
630	4027	4279	4147	5.15
640	4076	4328	4199	5.15
650	4122	4381	4250	5.15
660	4166	4430	4302	5.15
670	4214	4478	4353	5.15
680	4260	4527	4405	5.15
690	4305	4582	4456	5.15
700	4348	4633	4508	5.15
710	4392	4690	4559	5.15
720	4436	4742	4611	5.15
730	4479	4798	4662	5.15
740	4522	4851	4714	5.15
750	4565	4903	4765	5.15
760	4608	4958	4817	5.15
770	4650	5013	4868	5.15
780	4691	5068	4920	5.15
790	4731	5120	4971	5.15
800	4772	5174	5023	5.15
810	4811	5232	5074	5.15
820	4852	5287	5126	5.15
830	4891	5344	5177	5.15
840	4934	5403	5229	5.15
850	4975	5461	5280	5.15
860	5015	5519	5332	5.15
870	5056	5577	5383	5.15
880	5097	5636	5435	13.45
890	5266	5745	5569	13.45
900	5432	5869	5704	13.45
910	5601	5989	5838	13.45
920	5770	6115	5973	13.45
930	5930	6247	6107	13.45
940	6076	6385	6242	13.45
950	6204	6520	6376	13.45
960	6323	6664	6511	13.45
970	6443	6806	6645	13.45
980	6520	6883	6722	1.88
990	6555	6894	6740	1.88
1000	6589	6905	6759	1.88
1010	6623	6923	6778	1.88
1020	6660	6938	6797	1.88
1030	6688	6959	6815	1.88
1040	6709	6986	6834	1.88
1050	6732	7020	6853	1.88
1060	6746	7054	6872	1.88
1070	6756	7096	6890	1.88
1080	6763	7134	6909	1.88
1090	6774	7173	6928	1.88
1100	6786	7205	6947	NA
