depth	min95%	max95%	best	acc.rate
0	365	868	622	10.7
10	506	937	729	10.7
20	648	1006	836	10.7
30	785	1075	943	10.7
40	917	1145	1050	10.7
50	1046	1218	1157	10.7
60	1173	1307	1264	10.7
70	1297	1409	1366	10.7
80	1404	1542	1473	10.7
90	1484	1679	1580	10.7
100	1555	1819	1687	10.7
110	1627	1961	1794	28.03
120	1916	2228	2074	28.03
130	2207	2499	2355	28.03
140	2500	2769	2635	28.03
150	2787	3040	2915	28.03
160	3075	3312	3196	28.03
170	3361	3588	3476	28.03
180	3643	3864	3756	28.03
190	3929	4142	4037	28.03
200	4212	4420	4317	28.03
210	4491	4696	4597	28.03
220	4764	4977	4877	28.03
230	5033	5257	5158	28.03
240	5309	5539	5438	28.03
250	5582	5824	5718	28.03
260	5855	6107	5999	28.03
270	6134	6391	6279	13.66
280	6320	6505	6416	13.66
290	6426	6683	6552	NA
