"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
50	0	1	1	1	3
60	1	1	1	1	4
70	1	1	1	1	4
80	1	1	1	1	4
90	1	1	1	1	4
100	1	1	1	1	4
110	1	1	1	1	4
120	1	1	1	1	4
130	1	1	1	1	4
140	1	1	1	0	3
150	1	1	1	0	3
160	1	1	1	0	3
170	1	1	1	0	3
180	1	1	1	0	3
190	1	1	1	1	4
200	1	1	1	1	4
210	1	1	1	1	4
220	1	1	1	1	4
230	1	1	1	1	4
240	1	1	1	1	4
250	1	1	1	1	4
260	1	1	1	1	4
270	1	1	1	1	4
280	1	1	1	1	4
290	1	1	1	1	4
300	1	1	1	1	4
310	1	1	1	1	4
320	1	1	1	1	4
330	1	1	1	1	4
340	1	1	1	1	4
350	1	1	1	1	4
360	1	1	1	1	4
370	1	1	1	1	4
380	1	1	1	1	4
390	1	1	1	1	4
400	1	1	1	1	4
410	1	1	1	1	4
420	1	1	1	1	4
430	1	1	1	1	4
440	1	1	1	1	4
450	1	1	1	1	4
460	1	1	1	1	4
470	1	1	1	1	4
480	1	1	1	1	4
490	1	1	1	1	4
500	1	1	1	1	4
510	1	1	1	1	4
520	1	1	1	1	4
530	1	1	1	1	4
540	1	1	1	1	4
550	1	1	1	1	4
560	1	1	1	1	4
570	1	1	1	1	4
580	1	1	1	1	4
590	1	1	1	1	4
600	1	1	1	1	4
610	1	1	1	1	4
620	1	1	1	1	4
630	1	1	1	1	4
640	1	1	1	1	4
650	1	1	1	1	4
660	1	1	1	1	4
670	1	1	1	1	4
680	1	1	1	1	4
690	1	1	1	1	4
700	1	1	1	1	4
710	1	1	1	0	3
720	1	1	1	0	3
730	1	1	1	0	3
740	1	1	1	0	3
750	1	1	1	0	3
760	1	1	1	0	3
770	1	1	1	0	3
780	1	1	0	0	2
790	1	1	0	0	2
800	1	1	0	0	2
810	1	1	0	0	2
820	1	1	0	0	2
830	1	1	0	0	2
840	1	1	0	0	2
850	1	1	0	0	2
860	1	1	0	0	2
870	1	1	0	0	2
880	1	1	0	0	2
890	1	1	0	0	2
900	1	1	0	0	2
910	1	1	0	0	2
920	1	1	0	0	2
930	1	1	0	0	2
940	1	1	0	0	2
950	1	1	0	0	2
960	1	1	1	1	4
970	1	1	1	1	4
980	1	1	1	1	4
990	1	1	1	1	4
1000	1	1	1	1	4
1010	1	1	1	1	4
1020	1	1	1	1	4
1030	1	1	1	1	4
1040	1	1	1	1	4
1050	1	1	1	1	4
1060	1	1	1	1	4
1070	1	1	1	1	4
1080	1	1	1	1	4
1090	1	1	1	1	4
1100	1	1	1	1	4
1110	1	1	1	1	4
1120	1	1	1	1	4
1130	1	1	1	1	4
1140	1	1	1	1	4
1150	1	1	1	1	4
1160	1	1	1	1	4
1170	1	1	1	1	4
1180	1	1	1	1	4
1190	1	1	1	1	4
1200	1	1	1	1	4
1210	1	1	1	1	4
1220	1	1	1	1	4
1230	1	1	1	1	4
1240	1	1	1	1	4
1250	1	1	1	1	4
1260	1	1	1	1	4
1270	1	1	1	1	4
1280	1	1	1	1	4
1290	1	1	1	1	4
1300	1	1	1	1	4
1310	1	1	1	1	4
1320	1	1	1	1	4
1330	1	1	1	1	4
1340	1	1	1	1	4
1350	1	1	1	1	4
1360	1	1	1	1	4
1370	1	1	1	1	4
1380	1	1	1	1	4
1390	1	1	1	1	4
1400	1	1	1	1	4
1410	1	1	1	1	4
1420	1	1	1	1	4
1430	1	1	1	1	4
1440	1	1	1	1	4
1450	1	1	1	1	4
1460	1	1	1	1	4
1470	1	1	1	1	4
1480	1	1	1	1	4
1490	1	1	1	1	4
1500	1	1	1	1	4
1510	1	1	1	1	4
1520	1	1	1	1	4
1530	1	1	1	1	4
