depth	min95%	max95%	best	acc.rate
50	1645	1825	1729	7.08
60	1717	1892	1799	7.08
70	1790	1960	1870	7.08
80	1861	2032	1941	7.08
90	1932	2101	2012	7.08
100	2001	2173	2083	7.08
110	2070	2243	2153	7.08
120	2140	2313	2224	7.07
130	2209	2386	2295	7.07
140	2277	2458	2366	7.07
150	2345	2531	2436	7.07
160	2413	2605	2507	7.07
170	2479	2678	2578	7.07
180	2548	2752	2648	7.07
190	2615	2825	2719	7.06
200	2683	2898	2790	7.06
210	2750	2972	2860	7.06
220	2817	3044	2931	7.06
230	2883	3117	3001	7.05
240	2952	3190	3072	7.05
250	3021	3263	3142	7.05
260	3089	3336	3213	7.05
270	3156	3408	3283	7.04
280	3223	3481	3354	7.04
290	3289	3553	3424	7.04
300	3358	3626	3494	7.03
310	3425	3699	3565	7.03
320	3492	3771	3635	7.02
330	3560	3843	3705	7.02
340	3627	3915	3775	7.02
350	3694	3988	3846	7.01
360	3762	4060	3916	7.01
370	3828	4133	3986	7
380	3893	4205	4056	7
390	3960	4277	4126	6.99
400	4027	4349	4196	6.99
410	4094	4422	4265	6.98
420	4162	4494	4335	6.98
430	4228	4566	4405	6.97
440	4295	4638	4475	6.96
450	4363	4709	4544	6.96
460	4430	4782	4614	6.95
470	4496	4856	4683	6.95
480	4561	4927	4753	6.94
490	4626	4998	4822	6.93
500	4691	5068	4891	6.93
510	4756	5139	4961	6.92
520	4821	5210	5030	6.91
530	4886	5281	5099	6.9
540	4952	5352	5168	6.9
550	5018	5424	5237	6.89
560	5086	5494	5306	6.88
570	5153	5564	5374	6.87
580	5221	5634	5443	6.86
590	5289	5703	5512	6.86
600	5357	5773	5580	6.85
610	5423	5842	5649	6.84
620	5489	5911	5717	6.83
630	5555	5981	5785	6.82
640	5622	6050	5853	6.81
650	5689	6119	5921	6.8
660	5757	6187	5989	6.79
670	5825	6256	6057	6.78
680	5893	6324	6125	6.77
690	5961	6392	6193	6.76
700	6028	6460	6260	6.75
710	6096	6528	6328	6.74
720	6164	6595	6395	6.73
730	6231	6662	6463	6.72
740	6297	6730	6530	6.71
750	6364	6797	6597	6.7
760	6431	6864	6664	6.69
770	6498	6931	6731	6.68
780	6566	6997	6798	6.67
790	6632	7062	6864	6.66
800	6698	7127	6931	6.65
810	6765	7194	6997	6.63
820	6832	7259	7063	6.62
830	6899	7325	7130	6.61
840	6966	7391	7196	6.6
850	7033	7456	7261	6.59
860	7101	7520	7327	6.57
870	7167	7585	7393	6.56
880	7234	7650	7458	6.55
890	7301	7714	7524	6.53
900	7368	7777	7589	6.52
910	7435	7841	7654	6.51
920	7502	7904	7719	6.49
930	7569	7968	7784	6.48
940	7636	8031	7849	6.47
950	7704	8092	7914	6.45
960	7771	8153	7978	6.44
970	7839	8214	8042	6.42
980	7907	8275	8106	6.41
990	7974	8336	8171	6.39
1000	8041	8395	8234	6.38
1010	8111	8457	8298	6.36
1020	8177	8519	8362	6.35
1030	8243	8579	8425	6.33
1040	8310	8640	8488	6.32
1050	8377	8701	8552	6.3
1060	8443	8762	8614	6.29
1070	8509	8823	8677	6.27
1080	8576	8883	8740	6.26
1090	8643	8943	8802	6.24
1100	8710	9003	8865	6.22
1110	8777	9062	8927	6.21
1120	8842	9123	8989	6.19
1130	8908	9184	9051	6.18
1140	8974	9241	9113	6.17
1150	9041	9300	9174	6.17
1160	9108	9362	9236	6.16
1170	9174	9424	9298	6.16
1180	9240	9482	9359	6.15
1190	9305	9539	9421	6.15
1200	9373	9598	9482	6.16
1210	9435	9661	9544	6.16
1220	9499	9719	9605	6.16
1230	9563	9781	9667	6.17
1240	9627	9842	9729	6.18
1250	9691	9900	9791	6.19
1260	9753	9960	9853	6.2
1270	9816	10021	9915	6.2
1280	9880	10082	9977	6.21
1290	9942	10143	10039	6.21
1300	10006	10205	10101	6.21
1310	10065	10266	10163	6.21
1320	10129	10326	10225	6.21
1330	10191	10385	10287	6.2
1340	10251	10445	10349	6.19
1350	10313	10508	10411	6.18
1360	10373	10571	10473	6.18
1370	10432	10633	10534	6.17
1380	10492	10698	10596	6.16
1390	10549	10761	10658	6.15
1400	10608	10826	10719	6.14
1410	10665	10891	10780	6.14
1420	10723	10954	10842	6.13
1430	10779	11016	10903	6.13
1440	10837	11083	10964	6.12
1450	10894	11150	11026	6.12
1460	10950	11215	11087	6.11
1470	11006	11283	11148	6.11
1480	11063	11352	11209	6.11
1490	11120	11420	11270	6.11
1500	11178	11487	11331	6.1
1510	11234	11557	11392	6.1
1520	11289	11627	11453	6.1
1530	11345	11693	11514	NA
