depth	min95%	max95%	best	acc.rate
0	-2189	-1328	-1763	22.04
15	-1837	-1017	-1432	22.04
20	-1720	-914	-1322	22.04
25	-1604	-810	-1212	22.04
30	-1488	-707	-1102	22.04
35	-1372	-605	-992	22.04
40	-1256	-502	-881	22.04
45	-1140	-398	-771	22.04
50	-1023	-295	-661	22.04
55	-906	-191	-551	22.04
60	-789	-87	-441	22.04
65	-673	16	-330	22.04
70	-558	120	-220	22.04
75	-443	224	-110	22.04
80	-326	328	0	22.04
85	-208	432	110	22.04
90	-91	535	221	22.04
95	25	639	331	22.04
100	140	743	441	22.04
105	256	847	551	22.04
110	372	951	661	22.04
115	490	1055	771	22.04
120	608	1159	882	22.04
125	726	1263	992	22.04
130	844	1367	1102	22.04
135	962	1472	1212	22.04
140	1079	1577	1322	22.04
145	1195	1682	1433	22.04
150	1310	1787	1543	22.04
155	1427	1892	1653	22.04
160	1544	1997	1763	22.04
165	1661	2102	1873	22.04
170	1777	2206	1983	22.04
175	1892	2309	2094	22.04
180	2008	2414	2204	22.04
185	2122	2518	2314	22.04
190	2238	2622	2424	22.04
195	2354	2727	2534	22.04
200	2469	2833	2645	22.04
205	2584	2936	2755	22.04
210	2697	3041	2865	22.04
215	2812	3145	2975	22.04
220	2927	3251	3085	22.04
225	3040	3357	3196	22.04
230	3155	3462	3306	22.04
235	3268	3567	3416	22.04
240	3382	3671	3526	22.04
245	3496	3776	3636	22.04
250	3609	3883	3746	22.04
255	3723	3990	3857	22.04
260	3838	4096	3967	22.04
265	3952	4203	4077	22.04
270	4067	4311	4187	22.04
275	4180	4418	4297	22.04
280	4292	4525	4408	22.04
285	4406	4635	4518	22.04
290	4520	4741	4628	22.04
295	4632	4847	4738	22.04
300	4745	4955	4848	22.04
305	4857	5064	4959	22.04
310	4970	5173	5069	22.04
315	5084	5283	5179	22.04
320	5196	5393	5289	22.04
325	5307	5502	5399	22.04
330	5416	5612	5509	22.04
335	5529	5722	5620	22.04
340	5642	5833	5730	22.04
345	5754	5943	5840	22.04
350	5865	6052	5950	22.04
355	5976	6166	6060	22.04
360	6084	6277	6171	22.04
365	6193	6391	6281	22.04
370	6300	6504	6391	22.04
375	6407	6619	6501	22.04
380	6514	6734	6611	22.04
385	6617	6849	6722	22.04
390	6722	6964	6832	22.04
395	6827	7079	6942	22.04
400	6932	7195	7052	NA
