depth	min95%	max95%	best	acc.rate
0	-1634	-472	-1139	11.7
2	-1603	-459	-1116	11.7
4	-1573	-445	-1093	11.7
6	-1543	-431	-1069	11.7
8	-1513	-417	-1046	11.7
10	-1483	-403	-1022	11.7
12	-1453	-387	-999	11.7
14	-1423	-371	-976	11.7
16	-1393	-355	-952	11.7
18	-1363	-338	-929	11.7
20	-1333	-322	-905	11.7
22	-1303	-306	-882	11.7
24	-1273	-289	-859	11.7
26	-1243	-273	-835	11.7
28	-1213	-257	-812	11.7
30	-1182	-240	-788	11.7
32	-1152	-224	-765	11.7
34	-1122	-208	-742	11.7
36	-1092	-192	-718	11.7
38	-1062	-178	-695	11.7
40	-1032	-165	-672	11.7
42	-1002	-151	-648	11.7
44	-972	-138	-625	11.7
46	-942	-122	-601	11.7
48	-911	-106	-578	11.7
50	-881	-89	-555	11.7
52	-851	-73	-531	11.7
54	-821	-60	-508	11.7
56	-791	-46	-484	11.7
58	-760	-33	-461	11.7
60	-730	-20	-438	11.7
62	-700	-6	-414	11.7
64	-670	7	-391	11.7
66	-640	20	-367	11.7
68	-610	33	-344	11.7
70	-580	48	-321	11.7
72	-550	65	-297	11.7
74	-520	83	-274	11.7
76	-490	100	-250	11.7
78	-460	117	-227	11.7
80	-429	135	-204	11.7
82	-399	152	-180	11.7
84	-369	169	-157	11.7
86	-339	185	-133	11.7
88	-309	201	-110	11.7
90	-279	213	-87	11.7
92	-249	226	-63	11.7
94	-219	238	-40	11.7
96	-189	250	-16	11.7
98	-159	263	7	11.7
100	-129	279	30	11.7
102	-98	290	54	11.7
104	-68	301	77	11.7
106	-38	318	101	11.7
108	-8	334	124	11.7
110	23	352	147	11.7
112	53	369	171	11.7
114	84	386	194	11.7
116	114	403	217	11.7
118	144	420	241	11.7
120	174	437	264	11.7
122	204	454	288	11.7
124	234	471	311	11.7
126	264	488	334	11.7
128	294	505	358	11.7
130	324	522	381	11.7
132	354	539	405	11.7
134	384	555	428	11.7
